Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth St,Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russel St (West),Melbourne Convention Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Russel St (South),QV Market-Peel St,The Arts Centre
1-Apr-13,0,184,68,24,23,498,994,119,157,122,20,36,59,31,8,305,247,110,13,,,,,,,,,,
1-Apr-13,1,118,39,22,24,244,463,86,93,69,14,14,11,5,4,155,214,60,6,,,,,,,,,,
1-Apr-13,2,82,31,15,14,149,303,47,25,40,8,8,13,4,2,51,67,29,8,,,,,,,,,,
1-Apr-13,3,50,11,7,9,137,276,47,76,57,2,0,6,5,0,82,56,27,4,,,,,,,,,,
1-Apr-13,4,53,15,4,5,81,175,46,58,42,6,4,10,7,0,62,69,41,1,,,,,,,,,,
1-Apr-13,5,14,18,6,9,66,68,45,15,21,4,2,3,3,6,44,17,20,1,,,,,,,,,,
1-Apr-13,6,24,21,13,6,57,74,32,31,21,9,3,7,5,17,54,54,50,10,,,,,,,,,,
1-Apr-13,7,40,31,28,13,111,105,48,41,47,24,11,25,10,23,55,73,48,53,,,,,,,,,,
1-Apr-13,8,85,77,43,28,204,213,110,157,121,64,17,89,49,55,143,177,109,93,,,,,,,,,,
1-Apr-13,9,219,129,109,35,449,663,422,400,304,85,59,100,46,123,355,433,161,180,,,,,,,,,,
1-Apr-13,10,444,196,98,46,758,1406,969,1066,766,107,58,209,88,179,683,646,294,255,,,,,,,,,,
1-Apr-13,11,846,214,116,48,1339,1918,1730,1960,1149,83,59,241,166,204,1125,980,436,462,,,,,,,,,,
1-Apr-13,12,1130,302,141,51,1986,2499,2455,2360,1287,162,88,465,248,250,1574,1111,486,830,,,,,,,,,,
1-Apr-13,13,1487,277,154,65,2615,3067,2927,2715,1438,98,67,431,230,210,1630,1210,572,1681,,,,,,,,,,
