Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre
01/04/2014,0,74,24,5,14,151,113,46,46,29,5,3,16,9,11,71,80,45,0,85,162,28,0,146,20,35,0,9,46
01/04/2014,1,38,12,3,4,68,65,18,22,19,2,5,11,2,3,42,28,14,0,56,51,9,0,74,3,56,0,6,30
01/04/2014,2,34,2,3,6,37,33,17,21,18,3,5,2,0,3,23,27,10,0,31,27,11,0,29,1,33,13,1,15
01/04/2014,3,23,4,0,17,20,54,6,15,11,3,0,1,0,0,28,13,7,0,42,29,2,0,30,6,16,19,1,26
01/04/2014,4,5,14,1,4,25,23,2,8,6,9,3,0,1,3,36,19,33,1,5,57,11,0,20,8,11,9,4,41
01/04/2014,5,28,89,25,110,103,82,21,24,85,44,13,16,9,35,100,89,81,1,59,137,81,0,63,69,18,6,10,97
01/04/2014,6,77,205,199,768,196,245,75,112,137,473,90,78,25,202,411,427,270,13,139,449,499,0,93,338,63,16,28,426
01/04/2014,7,331,823,817,2489,476,470,357,301,374,1700,235,231,98,422,1009,1175,475,32,260,1244,1408,0,161,548,83,56,106,462
01/04/2014,8,838,1731,1680,5019,1091,1128,809,634,880,3235,298,275,108,572,1440,2171,897,35,520,2417,2675,0,268,939,164,180,141,1726
01/04/2014,9,760,907,761,1896,968,1187,692,638,942,1138,194,115,46,225,983,1029,340,12,628,1415,1296,0,243,372,229,56,116,847
01/04/2014,10,907,603,404,836,1229,1639,1012,953,1122,447,168,155,71,154,986,721,259,65,737,1575,958,0,270,296,330,0,177,939
01/04/2014,11,1182,573,420,853,1541,1548,1737,1332,1673,521,132,133,83,157,920,769,338,274,861,1436,876,0,451,324,471,0,137,1166
01/04/2014,12,2018,1519,681,1357,2392,2694,3141,2907,2178,1215,294,267,163,514,1307,1651,385,307,1495,2438,1483,0,1045,460,856,0,297,1048
01/04/2014,13,2057,1426,676,1399,2627,3048,3283,2580,2171,1020,228,229,88,404,1417,1487,343,217,1395,2525,1441,0,945,439,861,0,233,1048
