Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens
01/04/2015,0,2,64,22,39,288,362,74,56,0,24,13,25,14,15,179,252,67,25,91,242,95,35,202,33,112,70,27,100,155,71,11,29,22,26,18,534,34,153,47
01/04/2015,1,4,15,10,9,117,174,30,38,0,4,7,15,10,1,60,71,22,19,93,90,25,15,171,20,80,36,9,32,70,28,0,11,18,15,7,207,13,67,26
01/04/2015,2,0,11,2,9,56,119,15,14,0,4,10,5,1,3,25,38,21,7,38,24,21,24,83,13,25,16,5,16,59,23,1,4,10,10,12,95,12,40,11
01/04/2015,3,0,3,3,13,27,107,14,9,0,1,2,19,1,0,34,14,2,9,41,18,19,3,79,7,24,7,3,27,31,13,2,4,8,6,6,107,6,19,4
01/04/2015,4,0,3,3,7,28,47,23,19,0,2,2,3,0,3,51,51,28,11,33,25,19,2,37,12,13,19,3,67,32,8,3,4,7,12,7,98,7,14,5
01/04/2015,5,1,39,22,112,45,64,40,18,0,43,15,9,4,12,115,192,80,41,48,152,171,42,22,53,9,3,9,151,13,8,9,14,16,17,4,262,22,38,66
01/04/2015,6,1,230,168,668,176,177,83,65,0,416,110,81,17,127,324,862,248,168,93,478,743,148,62,264,23,24,32,356,52,21,63,65,55,53,13,693,57,159,141
01/04/2015,7,6,800,716,2244,457,485,278,205,0,1375,275,181,32,232,853,1977,554,452,207,1140,1865,433,160,507,102,52,63,819,165,72,163,147,166,224,56,1634,182,544,382
01/04/2015,8,10,1851,1637,4850,969,1083,682,535,0,2846,542,306,66,388,1856,4134,1217,746,493,2426,3451,1003,294,808,216,118,167,1771,300,206,439,292,489,770,130,3199,636,1326,580
01/04/2015,9,7,1228,862,2469,975,1241,842,696,0,1239,332,161,19,173,1216,2152,525,367,492,1664,1974,607,248,430,216,149,129,1201,298,188,308,208,392,487,130,2487,564,932,360
01/04/2015,10,8,776,519,1037,1356,1871,1412,1271,0,538,230,200,31,128,1163,1492,399,367,553,1670,1469,414,361,453,335,223,158,1084,364,169,161,158,303,451,134,2846,682,1150,415
01/04/2015,11,21,721,480,908,1976,2606,2237,2000,0,435,272,211,48,196,1533,1741,452,516,626,1931,1466,450,570,481,600,313,128,1298,550,250,149,179,291,482,163,3863,689,1619,560
01/04/2015,12,53,1650,780,1270,3036,3912,3457,3450,0,985,548,329,121,483,2086,2756,653,678,1166,3023,2069,606,1344,779,1162,744,219,1861,1113,471,271,309,749,772,408,4759,1232,2715,723
01/04/2015,13,55,1528,791,1461,3263,4276,3820,3899,0,841,370,378,115,424,2068,2870,610,641,1245,3426,2019,652,1216,873,1240,639,181,1744,1174,564,281,302,844,845,329,5088,1084,2694,805
01/04/2015,14,53,779,542,1113,2879,3626,3057,2993,0,530,285,295,78,200,1810,2550,533,558,812,2838,1589,401,785,728,906,446,186,1511,717,572,176,250,369,574,257,4834,635,2130,685
01/04/2015,15,53,705,644,1222,2812,3607,3104,2813,0,691,275,237,83,209,1972,2822,626,506,607,2910,1824,429,813,757,324,514,144,1437,732,467,131,204,266,600,277,4895,784,2552,756
01/04/2015,16,66,690,934,2198,2838,3467,2847,2570,0,1688,413,232,70,304,2127,3362,809,481,677,3171,2848,594,793,796,0,419,136,1658,735,357,221,201,271,560,239,5163,556,2322,721
01/04/2015,17,66,1200,1690,3760,2977,3607,3012,2585,0,2190,545,382,93,460,2975,5129,1475,864,732,3951,3653,716,1077,1075,0,527,181,2251,876,415,338,292,408,774,294,5613,592,3398,1024
01/04/2015,18,62,818,863,1743,2887,3139,2472,1820,0,927,348,419,81,313,2687,3488,1041,729,627,3037,2154,373,1174,788,0,897,187,2441,957,530,251,234,271,393,312,4694,522,3270,1059
01/04/2015,19,38,468,324,701,2647,2243,1230,773,0,288,193,313,58,176,1847,2138,546,358,537,2258,1004,200,1090,424,0,964,165,1578,896,742,102,171,214,282,396,3626,483,2710,622
01/04/2015,20,24,339,158,338,2450,2024,730,526,0,120,143,223,65,120,1658,1784,422,260,474,1662,690,180,991,280,0,877,139,1515,823,725,73,153,156,163,400,3143,255,2579,455
01/04/2015,21,17,241,127,232,1843,1541,567,389,0,101,80,184,68,74,1702,1530,397,168,336,1320,536,156,775,255,0,581,113,1322,719,778,75,111,136,143,358,2497,196,2131,367
01/04/2015,22,11,169,122,165,1296,1130,310,288,0,54,52,204,59,40,1081,1121,289,116,236,889,352,74,605,207,0,388,69,622,495,578,68,116,83,93,261,2018,368,1484,266
01/04/2015,23,1,93,63,106,816,866,227,142,0,35,40,70,21,23,517,772,221,54,184,725,225,76,428,103,0,260,60,230,264,395,23,86,40,57,82,1516,123,658,131
02/04/2015,0,0,39,7,67,371,378,84,70,0,19,14,8,3,9,214,343,69,20,130,273,85,49,241,41,0,107,43,86,152,111,7,22,14,68,22,580,33,267,34
02/04/2015,1,2,13,5,24,183,310,66,223,0,5,2,3,1,3,81,61,25,9,94,84,14,6,154,20,0,48,10,55,118,31,2,6,11,43,13,187,20,120,24
02/04/2015,2,0,6,1,6,84,230,43,202,0,4,0,1,0,0,39,44,22,6,43,26,14,8,66,9,0,25,7,21,49,27,1,2,10,64,19,142,5,56,17
02/04/2015,3,2,10,3,11,59,153,25,10,0,4,4,3,0,0,41,74,10,7,39,40,11,6,88,3,0,14,4,23,53,9,2,6,4,11,5,158,9,35,9
02/04/2015,4,0,10,1,3,48,48,13,16,0,1,5,3,1,1,33,44,26,3,45,28,9,13,51,11,0,10,3,47,24,7,2,6,14,0,1,106,3,12,7
