Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth St,Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russel St (West),Melbourne Convention Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Russel St (South),QV Market-Peel St,The Arts Centre
1-Aug-13,0,,26,14,39,211,141,60,58,35,18,3,,6,10,102,125,64,0,,,,,,,,,,
1-Aug-13,1,,4,6,2,74,66,32,23,23,2,3,,0,2,32,53,11,0,,,,,,,,,,
1-Aug-13,2,,13,3,7,43,25,17,18,6,1,3,,0,2,21,17,11,0,,,,,,,,,,
1-Aug-13,3,,13,6,0,18,17,12,8,7,2,5,,8,1,32,24,10,0,,,,,,,,,,
1-Aug-13,4,,7,2,5,23,23,12,20,8,2,3,,5,2,18,12,21,1,,,,,,,,,,
1-Aug-13,5,,68,29,78,71,73,22,24,57,42,15,,6,20,78,94,55,0,,,,,,,,,,
1-Aug-13,6,,204,179,549,165,191,94,89,163,366,66,,14,125,361,462,237,6,,,,,,,,,,
1-Aug-13,7,,651,650,2237,344,419,269,281,352,1442,175,,39,251,767,1053,449,13,,,,,,,,,,
1-Aug-13,8,,1494,1558,5091,888,1027,740,703,976,3132,398,,79,553,1551,2331,992,29,,,,,,,,,,
1-Aug-13,9,,977,882,2680,995,1149,845,765,898,1573,241,,57,228,1258,1196,409,16,,,,,,,,,,
1-Aug-13,10,,586,470,925,1130,1544,1048,1063,1114,536,119,,95,143,1006,798,331,20,,,,,,,,,,
1-Aug-13,11,,594,391,830,1605,1900,1542,1667,1327,418,176,,70,184,1155,940,340,9,,,,,,,,,,
1-Aug-13,12,,1377,693,1096,2681,2911,2820,2819,2308,1286,364,,169,548,1714,1746,442,183,,,,,,,,,,
1-Aug-13,13,,1432,748,1379,2883,3551,3398,3350,2548,1033,301,,194,481,1698,1829,480,65,,,,,,,,,,
1-Aug-13,14,,701,534,942,2540,3115,2595,2459,1845,632,168,,105,217,1648,1339,473,57,,,,,,,,,,
1-Aug-13,15,,587,532,1141,2401,2910,2446,2147,1641,756,168,,98,191,1347,1044,472,37,,,,,,,,,,
1-Aug-13,16,,723,900,2059,2408,2820,2346,2200,1430,1616,247,,74,301,1721,1466,745,27,,,,,,,,,,
1-Aug-13,17,,1158,1480,3569,2817,3183,2747,2339,1396,2745,338,,147,618,2527,2426,1243,28,,,,,,,,,,
1-Aug-13,18,,888,732,1613,2543,2706,2149,1742,855,1263,260,,123,364,1942,1564,779,41,,,,,,,,,,
1-Aug-13,19,,469,286,551,2266,1756,1544,865,455,354,87,,144,136,1258,858,391,8,,,,,,,,,,
1-Aug-13,20,,341,195,325,2090,1474,984,602,313,160,98,,42,99,802,682,293,5,,,,,,,,,,
1-Aug-13,21,,228,99,112,1484,985,585,316,249,117,42,,33,67,649,545,279,3,,,,,,,,,,
1-Aug-13,22,,171,75,99,1028,801,288,250,183,63,62,,45,32,1052,463,232,1,,,,,,,,,,
1-Aug-13,23,,121,61,68,702,620,167,212,148,29,44,,25,22,472,328,212,0,,,,,,,,,,
2-Aug-13,0,,44,25,24,350,232,93,55,64,11,8,,2,7,118,152,81,0,,,,,,,,,,
2-Aug-13,1,,22,5,20,169,106,38,39,31,1,0,,4,2,47,42,16,0,,,,,,,,,,
2-Aug-13,2,,14,11,0,78,91,20,22,11,2,1,,7,1,33,31,15,0,,,,,,,,,,
2-Aug-13,3,,11,4,6,42,101,11,24,17,1,0,,0,1,37,33,18,0,,,,,,,,,,
2-Aug-13,4,,10,1,5,31,40,14,7,19,2,8,,6,2,47,23,38,1,,,,,,,,,,
2-Aug-13,5,,56,38,78,70,88,31,25,38,45,13,,2,13,65,83,46,0,,,,,,,,,,
2-Aug-13,6,,305,166,495,163,174,82,81,182,393,55,,14,92,298,417,201,8,,,,,,,,,,
2-Aug-13,7,,718,670,1977,334,434,270,236,366,1385,159,,26,221,699,1051,466,12,,,,,,,,,,
2-Aug-13,8,,1496,1548,4960,775,1028,782,642,841,3049,265,,67,472,1413,2294,947,38,,,,,,,,,,
2-Aug-13,9,,1056,902,2422,958,1247,853,864,953,1594,270,,56,205,1119,1257,441,21,,,,,,,,,,
2-Aug-13,10,,587,504,891,1069,1671,1230,1204,1231,592,154,,63,128,1165,858,283,38,,,,,,,,,,
2-Aug-13,11,,580,482,805,1519,2260,1769,1767,1584,441,130,,47,154,1216,995,319,30,,,,,,,,,,
2-Aug-13,12,,1267,628,1165,2142,2990,2784,2964,2152,1071,0,,46,459,1541,1401,447,25,,,,,,,,,,
2-Aug-13,13,,1177,590,1139,2403,3294,3147,3286,2424,987,196,,55,337,1674,1483,379,14,,,,,,,,,,
2-Aug-13,14,,669,488,861,2414,3062,2449,2688,2006,565,127,,66,193,1586,1206,359,15,,,,,,,,,,
2-Aug-13,15,,568,513,1194,2444,3173,2631,2788,1832,729,202,,76,180,1529,1320,583,19,,,,,,,,,,
2-Aug-13,16,,774,840,2322,2043,3099,2705,2779,1551,1572,296,,48,307,1701,1531,725,13,,,,,,,,,,
2-Aug-13,17,,1091,1270,3075,2668,3425,3167,2855,1589,2490,361,,180,518,2573,2392,1091,11,,,,,,,,,,
2-Aug-13,18,,837,625,1322,3384,3746,2840,2465,1269,1070,366,,470,382,2776,1381,636,10,,,,,,,,,,
2-Aug-13,19,,452,297,464,2630,2390,1875,1473,833,441,247,,695,231,1646,1064,357,17,,,,,,,,,,
2-Aug-13,20,,480,163,239,2612,2038,1368,1095,484,199,128,,121,62,957,770,297,4,,,,,,,,,,
2-Aug-13,21,,237,141,176,2169,1609,710,556,285,168,135,,47,65,1049,674,320,4,,,,,,,,,,
2-Aug-13,22,,260,130,159,1783,1231,582,433,288,189,228,,142,207,1340,585,267,19,,,,,,,,,,
2-Aug-13,23,,225,115,116,1481,1076,439,392,320,64,99,,24,46,885,599,262,4,,,,,,,,,,
3-Aug-13,0,,106,48,62,747,551,232,188,127,40,46,,22,26,358,339,219,2,,,,,,,,,,
3-Aug-13,1,,77,35,16,482,389,117,150,79,23,21,,6,19,160,157,70,0,,,,,,,,,,
3-Aug-13,2,,36,26,18,227,252,85,103,53,8,19,,1,7,101,112,40,0,,,,,,,,,,
3-Aug-13,3,,15,13,5,197,165,49,45,19,11,11,,4,1,67,69,24,0,,,,,,,,,,
3-Aug-13,4,,18,8,11,108,130,25,57,16,4,17,,2,3,51,53,41,0,,,,,,,,,,
3-Aug-13,5,,17,15,7,105,110,37,47,23,9,17,,3,10,50,38,46,0,,,,,,,,,,
3-Aug-13,6,,56,39,25,121,134,47,71,37,30,12,,2,20,51,73,65,0,,,,,,,,,,
3-Aug-13,7,,68,54,49,156,170,100,100,80,47,30,,10,41,90,190,109,3,,,,,,,,,,
3-Aug-13,8,,121,77,64,334,459,281,258,253,99,51,,21,54,281,364,162,4,,,,,,,,,,
3-Aug-13,9,,195,120,75,532,913,730,793,717,107,88,,38,106,658,585,205,18,,,,,,,,,,
3-Aug-13,10,,239,160,86,925,1597,1353,1580,1145,136,75,,82,127,1001,855,372,24,,,,,,,,,,
3-Aug-13,11,,263,179,79,1453,2406,1991,2314,1489,120,87,,118,157,1424,1055,411,65,,,,,,,,,,
3-Aug-13,12,,368,213,66,2261,3159,2759,2827,1974,136,89,,99,146,1934,1295,472,126,,,,,,,,,,
3-Aug-13,13,,430,260,145,2613,3082,2808,2878,1941,134,90,,133,150,1974,1171,486,380,,,,,,,,,,
3-Aug-13,14,,381,181,99,2594,3338,2978,3202,1720,131,99,,212,144,1802,1145,430,108,,,,,,,,,,
3-Aug-13,15,,412,190,79,2831,3443,3286,3374,1859,117,78,,57,163,1918,1263,504,57,,,,,,,,,,
3-Aug-13,16,,416,152,67,2250,3005,3018,2940,1389,61,106,,14,83,2004,998,430,75,,,,,,,,,,
3-Aug-13,17,,538,163,59,1680,2284,1839,1925,877,147,98,,34,80,1467,937,424,257,,,,,,,,,,
3-Aug-13,18,,529,173,70,2172,1922,1307,1013,629,161,199,,122,117,950,779,355,35,,,,,,,,,,
3-Aug-13,19,,333,125,34,2222,1358,877,525,402,147,168,,213,95,880,547,240,1,,,,,,,,,,
3-Aug-13,20,,337,100,59,2152,1168,514,386,289,55,65,,75,28,704,556,223,3,,,,,,,,,,
3-Aug-13,21,,212,95,48,1794,1294,366,319,202,67,79,,43,42,1330,538,260,3,,,,,,,,,,
3-Aug-13,22,,206,97,94,1492,1077,537,484,336,135,233,,90,72,799,513,234,6,,,,,,,,,,
3-Aug-13,23,,179,99,46,1199,916,306,262,218,58,75,,18,12,555,429,236,5,,,,,,,,,,
4-Aug-13,0,,150,50,45,773,1059,258,217,119,31,29,,12,12,334,297,212,0,,,,,,,,,,
4-Aug-13,1,,65,47,44,513,655,174,228,117,22,31,,4,6,163,216,97,2,,,,,,,,,,
4-Aug-13,2,,29,48,19,279,613,140,197,86,12,4,,2,7,154,155,62,2,,,,,,,,,,
4-Aug-13,3,,34,14,19,239,659,119,180,60,10,13,,0,0,108,94,35,0,,,,,,,,,,
4-Aug-13,4,,24,8,7,132,214,74,61,35,5,5,,0,1,55,88,57,0,,,,,,,,,,
4-Aug-13,5,,13,11,3,88,153,53,66,28,7,10,,0,1,55,40,28,0,,,,,,,,,,
4-Aug-13,6,,21,8,12,65,80,34,27,29,13,8,,0,7,39,38,24,0,,,,,,,,,,
4-Aug-13,7,,58,24,120,118,150,69,43,65,7,7,,11,27,104,116,77,0,,,,,,,,,,
4-Aug-13,8,,122,67,63,285,293,152,141,186,46,26,,20,69,224,211,145,5,,,,,,,,,,
4-Aug-13,9,,155,109,66,515,612,524,484,513,83,37,,44,111,483,385,220,9,,,,,,,,,,
4-Aug-13,10,,240,148,133,895,1329,963,998,911,97,123,,131,147,1145,682,304,22,,,,,,,,,,
4-Aug-13,11,,246,116,104,1311,1866,1868,1598,1161,98,88,,193,191,1710,899,396,49,,,,,,,,,,
4-Aug-13,12,,310,160,81,1989,2620,2176,2435,1346,130,95,,309,284,1920,1064,397,41,,,,,,,,,,
4-Aug-13,13,,381,175,87,2582,3084,2645,2768,1515,120,78,,365,176,2691,1201,430,82,,,,,,,,,,
4-Aug-13,14,,398,195,66,2607,3412,3123,2964,1707,114,85,,176,152,2268,1156,436,82,,,,,,,,,,
4-Aug-13,15,,419,204,74,2547,3095,3189,2953,1468,96,87,,181,191,2007,1284,619,286,,,,,,,,,,
4-Aug-13,16,,436,129,86,2115,2523,2554,2358,1163,100,128,,156,182,1593,1109,488,267,,,,,,,,,,
4-Aug-13,17,,289,86,54,2064,2002,1670,1578,588,84,94,,119,88,1145,880,313,10,,,,,,,,,,
4-Aug-13,18,,316,97,60,2058,1515,1052,629,345,106,78,,50,51,1345,853,370,39,,,,,,,,,,
4-Aug-13,19,,430,96,40,1774,1564,609,395,325,88,43,,51,57,1074,782,429,498,,,,,,,,,,
