Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West)
1/08/2014,0,66,31,5,27,231,0,37,47,0,8,11,7,8,3,125,74,16,0,61,165,45,22,190,11,70,61,23,151,118,56,5
1/08/2014,1,42,12,5,9,114,0,15,8,0,0,9,0,0,2,41,23,3,0,27,46,13,5,85,6,49,37,4,51,71,16,1
1/08/2014,2,28,7,6,14,53,0,11,22,0,2,5,3,1,0,24,31,9,0,25,42,13,0,95,4,27,23,5,76,74,11,2
1/08/2014,3,10,5,2,8,52,0,14,9,0,0,11,19,4,0,32,20,9,0,21,33,7,6,70,2,19,15,0,19,53,14,2
1/08/2014,4,12,11,4,6,21,0,6,14,0,7,2,1,1,2,31,20,34,1,21,57,31,8,28,3,3,18,4,39,53,13,6
1/08/2014,5,24,50,45,102,89,0,31,36,0,75,15,6,1,20,81,150,54,0,55,164,186,38,66,44,13,4,16,79,63,6,21
1/08/2014,6,61,205,172,612,213,0,71,61,0,416,78,46,13,90,306,325,158,9,163,545,700,125,83,163,18,15,28,292,45,11,74
1/08/2014,7,244,710,762,1994,332,0,242,200,0,1219,231,162,36,204,630,935,471,6,236,1043,1667,372,158,287,72,73,79,771,147,99,177
1/08/2014,8,670,1400,1322,4318,964,0,641,514,0,2717,402,182,51,279,1285,1961,825,28,533,1972,2817,711,224,653,171,120,148,1371,368,149,433
1/08/2014,9,568,738,529,1487,796,0,805,690,0,1004,237,141,52,100,869,850,309,21,656,1252,1261,364,224,336,258,146,124,885,259,133,241
1/08/2014,10,779,471,344,646,921,0,999,1205,0,427,161,112,26,98,812,653,213,57,705,1398,867,273,328,322,401,225,163,774,334,119,163
1/08/2014,11,735,559,329,577,1383,0,1296,1364,0,374,192,79,34,115,807,720,199,17,813,1618,935,348,487,237,534,286,172,962,640,174,107
