Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre
1/12/13,0,424,220,129,42,857,782,393,307,186,38,98,0,36,40,647,487,333,7,198,803,230,101,1005,213,423,543,56,458
1/12/13,1,289,92,58,41,761,607,239,247,157,42,111,0,11,13,404,288,112,4,226,436,113,69,840,175,338,465,62,168
1/12/13,2,236,61,50,40,463,453,154,202,151,15,32,0,5,7,407,269,127,3,135,533,73,64,964,64,172,230,46,223
1/12/13,3,121,28,23,31,287,350,105,210,70,11,3,0,1,8,273,180,119,0,97,465,57,37,697,39,85,154,22,172
1/12/13,4,54,18,7,19,92,141,53,63,52,9,1,0,4,2,72,102,53,0,63,191,38,27,263,15,45,104,19,64
1/12/13,5,50,15,15,16,59,101,28,44,35,10,6,0,17,4,62,86,52,0,57,101,53,25,186,29,23,33,9,76
1/12/13,6,47,26,16,31,72,95,30,41,56,20,24,0,19,22,86,56,45,2,71,110,72,18,124,52,22,29,21,146
1/12/13,7,98,80,24,30,147,182,114,76,84,29,37,0,40,61,166,111,125,11,177,335,226,54,106,145,32,31,48,303
1/12/13,8,152,124,61,49,283,443,326,234,212,82,18,0,134,103,283,234,206,12,415,484,330,99,115,206,65,68,85,523
1/12/13,9,303,182,100,73,526,862,900,642,499,92,57,0,252,170,789,518,310,21,667,994,537,193,214,413,123,134,161,1262
1/12/13,10,722,270,171,90,867,2016,1765,1935,1060,110,75,0,532,205,1488,800,431,28,1085,1653,624,146,416,668,297,334,289,1910
