Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place
01/12/2014,0,85,19,15,22,322,259,0,70,0,21,16,32,9,12,168,188,94,0,113,228,68,33,205,59,143,0,23,57,207,155,8,8,7
01/12/2014,1,38,8,2,20,144,103,0,26,0,9,4,15,7,6,53,97,36,0,54,92,31,17,94,19,59,0,17,18,180,68,2,11,3
01/12/2014,2,42,9,4,7,89,69,0,31,0,3,1,12,0,2,31,51,15,0,47,43,34,18,66,18,43,0,3,18,110,26,3,4,4
01/12/2014,3,40,6,4,11,42,47,0,15,0,2,1,12,0,0,39,20,18,0,35,32,17,22,46,6,37,0,3,29,173,17,7,2,11
01/12/2014,4,13,12,6,9,45,73,0,8,0,2,2,5,1,1,54,25,27,0,21,37,23,5,54,14,30,0,1,47,152,8,3,3,0
01/12/2014,5,25,43,21,108,68,83,0,18,0,32,13,17,3,17,103,90,82,0,25,127,162,30,32,57,20,0,7,111,23,8,9,13,13
01/12/2014,6,77,187,173,532,202,194,0,68,0,339,71,88,12,98,307,275,203,0,89,525,655,139,78,228,33,0,14,295,43,31,60,42,55
01/12/2014,7,258,786,777,2361,488,509,0,246,0,1362,263,271,42,260,855,1155,508,0,235,1348,1729,388,148,479,88,0,68,844,132,72,240,118,192
01/12/2014,8,622,1897,1794,5577,846,1097,0,695,0,2768,444,409,39,379,1618,2374,1153,0,413,2594,3533,970,277,1371,284,0,135,1765,307,215,393,258,439
01/12/2014,9,499,1164,835,2614,757,1411,0,865,0,1262,229,191,43,177,870,1192,486,0,418,1714,1964,558,269,396,233,0,110,745,296,198,246,168,347
01/12/2014,10,548,721,423,926,1022,2042,0,1468,0,410,213,150,39,115,893,827,372,0,477,1632,1227,390,353,377,377,0,104,661,474,265,108,109,290
01/12/2014,11,837,625,404,774,1335,2721,0,2071,0,388,184,153,32,127,1026,1069,472,0,607,2024,1443,425,448,1151,518,0,169,850,510,271,133,143,293
01/12/2014,12,1684,1603,616,1158,2377,3874,0,3452,0,987,381,367,89,487,1540,1845,641,0,1061,2760,1869,616,960,771,1030,0,164,1301,1032,434,238,221,855
