Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth St,Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russel St (West),Melbourne Convention Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Russel St (South),QV Market-Peel St,The Arts Centre
1-Feb-13,0,66,35,9,18,275,711,86,36,44,10,2,17,6,3,124,180,59,3,,,,,,,,,,
1-Feb-13,1,55,14,13,6,117,168,57,52,21,4,1,13,8,2,57,41,17,0,,,,,,,,,,
1-Feb-13,2,26,13,10,8,70,107,35,62,21,2,1,12,10,4,31,36,18,1,,,,,,,,,,
1-Feb-13,3,12,12,1,2,37,42,18,14,19,3,3,1,1,5,55,13,7,4,,,,,,,,,,
1-Feb-13,4,15,10,8,3,12,70,9,13,12,2,4,4,2,1,44,26,36,9,,,,,,,,,,
1-Feb-13,5,34,65,23,75,57,69,23,24,10,46,19,13,13,16,65,57,53,21,,,,,,,,,,
1-Feb-13,6,77,218,159,487,167,180,62,103,90,476,85,48,25,68,276,259,131,60,,,,,,,,,,
1-Feb-13,7,232,581,631,1896,294,404,242,225,335,1145,198,187,87,234,701,853,341,178,,,,,,,,,,
1-Feb-13,8,596,1500,1515,4651,658,980,750,625,779,2719,351,275,105,443,1298,2326,917,297,,,,,,,,,,
1-Feb-13,9,665,1016,910,2530,713,1195,819,841,919,1466,272,267,169,163,807,1210,439,140,,,,,,,,,,
1-Feb-13,10,640,600,446,909,824,1549,1075,1141,1026,491,141,397,251,127,712,761,269,121,,,,,,,,,,
1-Feb-13,11,918,625,433,807,1021,2098,1670,1730,1344,428,122,556,345,132,912,1023,340,98,,,,,,,,,,
1-Feb-13,12,1579,1408,676,1081,2258,3132,2831,3264,2384,1156,354,798,455,611,1343,1835,516,271,,,,,,,,,,
1-Feb-13,13,1778,1442,660,1218,2564,3586,3284,3913,2617,1189,326,866,559,538,1361,2067,485,285,,,,,,,,,,
1-Feb-13,14,1562,797,491,999,2225,3204,2478,2858,1917,627,168,698,437,231,1349,1448,471,193,,,,,,,,,,
1-Feb-13,15,1557,581,533,1129,2210,3106,2432,2697,1607,759,170,663,495,156,1377,1378,486,216,,,,,,,,,,
1-Feb-13,16,1683,692,889,1884,2161,3114,2383,2845,1417,1610,332,549,277,351,1697,1645,621,249,,,,,,,,,,
1-Feb-13,17,1938,1185,1307,3280,2604,3462,2929,2859,1593,2169,442,530,319,629,2330,2330,1150,375,,,,,,,,,,
1-Feb-13,18,1655,732,665,1388,2651,2986,2500,2214,1045,882,236,668,474,356,1994,1614,704,251,,,,,,,,,,
1-Feb-13,19,1260,432,267,504,2319,2255,1749,1462,629,313,138,444,360,164,1343,1144,365,110,,,,,,,,,,
1-Feb-13,20,1029,352,168,233,2107,1838,1210,925,414,185,114,243,153,81,909,861,308,80,,,,,,,,,,
1-Feb-13,21,877,286,119,174,1974,1531,747,575,273,108,84,150,96,60,994,821,319,53,,,,,,,,,,
1-Feb-13,22,733,202,124,111,1541,1226,433,418,217,104,93,242,133,48,1172,934,309,40,,,,,,,,,,
1-Feb-13,23,477,116,85,63,1299,1240,300,332,210,54,73,64,32,22,2411,852,262,109,,,,,,,,,,
2-Feb-13,0,336,125,40,51,853,820,209,235,114,29,27,54,25,17,506,642,288,23,,,,,,,,,,
