Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre
1/02/2014,0,414,130,47,63,1007,1121,379,276,125,26,35,75,42,26,575,521,289,61,186,731,159,95,747,195,381,443,44,227
1/02/2014,1,249,45,23,26,600,595,226,159,65,26,11,13,21,11,244,239,104,32,150,315,43,55,646,82,277,256,20,102
1/02/2014,2,161,44,9,13,344,286,141,115,38,12,9,10,5,4,150,111,65,22,109,183,33,9,422,34,103,150,19,85
1/02/2014,3,68,20,5,18,227,223,93,64,36,8,16,13,10,4,66,73,37,66,74,162,19,27,259,12,65,105,9,44
1/02/2014,4,50,14,4,15,67,131,40,33,21,4,8,5,7,4,56,77,52,22,80,104,21,12,156,19,51,31,8,33
1/02/2014,5,26,34,24,8,93,99,26,35,16,12,11,12,7,8,59,47,67,13,88,98,25,23,127,28,13,13,12,42
1/02/2014,6,29,75,29,23,106,103,66,51,40,36,21,20,23,30,92,65,107,61,172,181,85,30,98,121,22,29,30,84
1/02/2014,8,148,128,81,54,329,435,349,221,272,79,62,123,77,118,291,290,146,171,392,555,258,111,85,269,57,48,133,227
1/02/2014,9,289,205,112,102,486,765,736,651,574,103,74,263,264,146,526,475,241,306,738,903,314,112,170,460,142,83,213,455
1/02/2014,10,597,251,121,88,770,1442,1464,1312,1036,123,105,319,626,170,985,794,307,311,1068,1361,449,162,366,596,341,338,368,741
1/02/2014,11,838,315,193,72,1261,2097,2395,2018,1369,97,99,479,880,132,1337,1145,403,518,1366,1724,522,179,577,834,594,147,375,1027
1/02/2014,12,1416,282,184,68,1835,2762,2861,2213,1286,125,110,570,936,187,1446,1209,431,1123,1315,2110,551,118,670,1167,788,0,353,1009
1/02/2014,13,1826,338,165,96,1803,2685,3310,2561,1472,117,111,599,835,139,1672,1271,452,2012,1358,1987,495,142,829,1242,990,0,293,1196
1/02/2014,14,1721,355,158,95,2070,2944,3173,2810,1391,120,101,545,1014,159,1686,1393,526,1910,1212,2188,527,161,924,0,1108,0,305,1382
1/02/2014,15,1278,291,184,74,2242,3091,3392,2765,1392,135,92,600,921,179,1754,1377,648,2218,812,2156,532,167,846,0,1037,0,219,1545
1/02/2014,16,1231,297,180,118,2201,2925,3221,2198,1205,108,73,467,719,159,1681,1433,652,2429,446,2288,570,157,817,1642,927,0,114,1360
1/02/2014,17,1344,372,174,65,1862,2395,2635,1626,715,171,145,533,650,127,1660,1433,616,2407,353,1900,569,162,790,1074,759,0,80,907
1/02/2014,18,1081,341,151,79,1908,1976,1856,838,441,135,95,712,521,140,1676,1319,717,2861,362,1801,559,132,1183,1361,896,0,129,1081
1/02/2014,19,997,311,106,82,1829,1756,1140,505,407,110,113,680,681,136,1780,1184,489,2750,304,1685,388,109,1143,686,1076,0,77,1241
1/02/2014,20,950,399,100,65,1970,1594,971,464,315,74,75,991,852,125,2092,1308,647,3026,300,1664,292,129,1061,780,1015,892,83,838
1/02/2014,21,909,310,108,82,1901,1405,808,438,319,90,102,773,778,136,2057,1167,726,2350,249,1529,302,137,870,730,950,977,101,613
1/02/2014,22,867,239,137,68,1791,1427,841,436,253,141,100,660,534,106,2044,1059,824,1122,240,1443,397,172,1031,1862,762,728,71,1042
1/02/2014,23,738,230,131,47,1574,1270,632,306,203,84,79,346,276,90,1270,963,642,644,212,1161,319,86,907,497,573,668,48,533
2/02/2014,0,470,158,95,48,1115,946,477,269,203,36,55,152,101,36,723,517,268,116,171,852,204,120,917,257,411,578,64,341
2/02/2014,1,295,52,63,34,645,542,364,223,129,31,45,57,41,14,389,254,135,27,111,463,111,61,877,136,297,371,28,185
2/02/2014,2,207,46,40,13,383,432,249,186,85,10,30,29,14,5,195,218,83,15,140,314,30,25,664,60,156,331,21,53
2/02/2014,3,112,38,37,21,259,353,219,147,57,13,18,11,5,7,138,179,83,6,82,211,40,42,477,47,79,199,17,74
2/02/2014,4,54,23,10,8,120,152,62,74,35,5,5,11,6,1,81,95,53,3,51,90,43,23,315,22,33,69,10,38
2/02/2014,5,29,27,27,11,77,82,40,42,32,4,6,1,7,7,85,50,43,9,52,95,19,23,141,20,13,33,11,57
2/02/2014,6,50,18,11,7,60,110,62,64,50,13,11,11,23,21,53,51,61,42,44,95,29,32,172,65,23,40,14,57
2/02/2014,7,85,53,22,13,150,185,111,85,70,29,20,49,47,95,143,118,99,76,158,263,182,31,121,136,55,30,30,134
2/02/2014,8,150,98,60,41,301,241,199,101,151,63,42,181,112,127,214,212,176,170,267,439,264,106,228,288,73,109,78,227
2/02/2014,9,290,185,66,59,561,589,566,483,351,78,41,591,409,167,460,473,187,167,589,754,404,114,429,447,165,357,153,321
2/02/2014,10,520,189,97,44,1022,1237,1415,1090,680,87,74,762,702,128,864,688,334,220,685,1233,524,128,1026,560,642,645,194,690
2/02/2014,11,986,239,133,53,1473,1888,2447,1579,912,70,72,1251,938,127,1026,857,379,399,986,1540,548,124,1628,607,1097,0,211,769
2/02/2014,12,1405,312,162,66,1657,2316,3034,2013,921,76,75,1227,749,135,1232,932,404,1080,1014,1431,547,105,2231,633,1311,0,243,989
2/02/2014,13,1508,254,132,57,2021,2394,3033,1926,964,99,70,862,736,140,1401,971,363,2110,1066,1648,516,94,1993,709,1313,0,232,1104
2/02/2014,14,1191,286,119,75,2175,2631,3170,1934,1009,110,77,510,534,143,1596,1039,490,2879,1059,1847,525,101,1816,728,638,0,197,1188
2/02/2014,15,1108,214,130,89,2298,2718,2938,1813,983,98,44,323,409,130,1372,1160,504,2308,676,1820,633,77,1699,551,1373,0,130,1118
2/02/2014,16,1070,220,123,77,2166,2320,2938,1663,678,67,59,280,342,83,1279,1055,465,1561,344,1791,685,94,1616,511,965,0,84,911
2/02/2014,17,1233,272,131,50,1992,2327,2034,1097,516,101,56,150,156,53,1154,1076,399,1107,359,1515,715,79,1306,434,915,0,100,700
2/02/2014,18,814,212,87,63,1886,1564,1533,553,341,102,78,243,144,81,916,904,445,791,244,1306,621,68,1022,481,1029,0,136,502
2/02/2014,19,792,211,70,57,1757,1376,1022,407,311,100,84,324,224,80,1087,896,384,1094,270,1223,456,68,1102,308,956,0,85,383
2/02/2014,20,821,185,54,42,1669,1087,721,369,171,104,58,529,392,64,1094,838,419,859,229,1342,356,96,1053,359,775,0,78,334
2/02/2014,21,652,133,49,59,1249,970,466,259,213,70,78,353,239,67,975,794,383,739,220,1229,196,93,683,380,567,0,53,318
2/02/2014,22,469,89,26,53,1112,666,325,221,63,35,36,167,178,32,616,511,321,215,126,785,166,70,483,227,475,0,36,198
2/02/2014,23,214,62,22,21,568,372,99,68,51,35,19,111,49,8,313,316,262,74,102,529,113,43,314,98,166,0,25,122
3/02/2014,0,109,19,16,17,237,181,57,42,74,21,18,25,20,8,152,160,67,20,76,248,39,30,251,45,93,0,31,108
3/02/2014,1,61,24,8,10,119,96,25,16,23,11,6,5,7,3,55,56,28,17,56,53,8,7,150,15,88,0,8,20
3/02/2014,2,28,12,2,7,69,40,17,10,8,0,8,3,7,2,35,29,21,10,21,39,4,4,53,21,25,0,6,16
3/02/2014,3,18,5,0,5,30,31,11,11,13,2,0,12,15,2,30,21,11,7,38,36,6,5,39,7,4,0,7,30
3/02/2014,4,9,10,2,0,23,33,7,5,9,6,0,11,22,3,34,33,31,7,21,36,13,17,47,19,15,0,3,57
3/02/2014,5,14,59,28,129,84,104,36,27,14,64,18,15,7,35,102,94,79,34,38,161,58,33,28,105,1,0,5,131
3/02/2014,6,82,241,181,823,210,234,78,67,100,340,71,65,88,167,327,326,251,149,71,669,347,141,82,339,41,0,19,445
3/02/2014,7,329,598,588,1985,420,541,289,247,360,1397,196,208,122,381,830,811,530,328,148,1245,1106,367,149,550,103,0,72,910
3/02/2014,8,680,1666,1536,4937,822,1017,709,589,935,2860,204,317,139,585,1378,2146,1001,476,401,2564,2336,821,281,662,199,0,126,1481
3/02/2014,9,522,883,677,1891,754,1142,788,685,871,1142,190,186,54,164,713,1128,324,139,325,1651,1154,435,220,423,171,0,83,645
3/02/2014,10,655,611,426,887,913,1604,1127,1119,888,359,117,135,81,117,770,729,256,134,452,1627,887,315,328,321,321,0,78,570
3/02/2014,11,861,565,408,813,1038,1865,1190,1313,1134,335,136,143,78,123,765,808,306,208,524,1789,753,356,378,387,441,0,101,644
3/02/2014,12,1427,1336,534,944,1783,2581,2044,2804,2001,862,341,332,165,484,1220,1776,484,293,942,2112,1329,460,1078,598,762,0,148,857
3/02/2014,13,1305,1177,561,1210,1647,2923,2179,2910,2038,717,218,240,93,303,984,1583,404,174,768,2394,1145,493,1095,539,711,447,140,819
3/02/2014,14,1362,675,392,918,1622,2806,1726,2437,1300,393,116,183,115,156,1159,1098,430,168,578,2353,897,325,755,531,589,408,83,942
3/02/2014,15,1461,579,538,1260,1640,2611,1529,2181,1150,553,135,145,69,196,1332,1138,527,158,614,2298,999,365,793,503,603,347,129,1028
3/02/2014,16,1540,588,971,2064,1646,2318,1544,1949,1161,1358,232,110,84,292,1648,1397,708,216,622,2305,1734,407,658,649,559,423,139,1413
