Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South)
01/02/2015,0,5,149,35,67,869,1444,0,229,0,13,30,22,10,10,426,477,249,178,166,704,268,71,925,143,334,427,46,145,667,251,48,77,60,326,0,2276,81
01/02/2015,1,2,65,26,65,477,476,0,196,0,19,26,14,2,13,238,208,102,39,141,358,139,66,619,106,297,274,27,83,473,166,12,34,26,338,0,1234,74
01/02/2015,2,3,15,11,36,279,397,0,166,0,17,11,2,1,3,146,163,66,41,109,250,54,36,542,52,180,217,17,66,374,86,5,14,19,232,6,929,32
01/02/2015,3,1,33,11,40,240,341,0,99,0,7,13,6,0,6,99,99,64,32,96,158,52,70,318,22,98,176,6,49,230,27,8,19,21,129,10,659,31
01/02/2015,4,0,27,10,21,77,158,0,38,0,6,6,2,0,8,51,64,52,33,52,96,37,24,378,26,42,87,9,32,134,43,7,15,3,107,6,526,9
01/02/2015,5,1,20,4,19,69,77,0,44,0,6,3,8,0,7,59,61,71,39,49,82,43,22,174,20,38,16,7,48,175,5,8,22,3,17,17,329,9
01/02/2015,6,1,19,11,13,67,104,0,39,0,9,17,9,3,9,102,39,49,45,44,76,67,14,62,57,21,20,4,70,67,4,13,21,9,21,7,267,22
01/02/2015,7,1,51,26,25,95,127,0,66,0,34,12,11,2,31,139,92,92,45,144,212,263,66,86,89,20,21,34,188,69,28,22,19,7,22,9,471,29
01/02/2015,8,1,110,57,49,204,220,0,133,0,48,22,30,23,35,229,170,132,96,277,347,456,88,70,94,83,29,83,276,115,24,31,39,38,24,19,690,73
01/02/2015,9,2,138,76,71,344,546,0,336,0,83,64,59,29,47,385,402,164,116,476,677,448,128,150,291,111,56,123,503,144,63,58,92,84,55,77,1086,109
01/02/2015,10,16,151,78,100,540,1069,0,874,0,54,61,66,17,63,994,657,274,110,737,1045,622,146,338,412,282,173,307,975,359,100,50,65,99,87,126,1857,161
01/02/2015,11,15,238,68,157,931,1872,0,1489,0,77,86,67,24,94,1723,905,367,167,1177,1607,599,124,364,410,459,271,422,1842,458,168,70,147,75,113,125,2731,232
01/02/2015,12,22,349,132,85,1515,2337,0,1878,0,83,56,165,44,112,2301,995,425,359,1922,1799,719,145,522,744,806,520,607,2660,570,385,85,134,102,161,245,3118,190
01/02/2015,13,46,344,142,132,2024,2741,0,2248,0,85,67,249,87,145,2470,1164,459,707,2678,1997,602,171,697,1081,988,661,888,2639,704,414,70,153,74,156,306,3507,207
01/02/2015,14,147,372,130,121,2158,2901,0,2529,0,91,69,329,101,179,2488,1315,469,1081,2499,2147,706,162,905,836,1107,593,855,2671,784,572,102,206,95,144,379,3845,239
01/02/2015,15,139,321,108,101,2204,2874,0,2457,0,68,70,266,87,212,2616,1454,625,1354,1887,2461,685,117,778,1021,966,573,607,2995,816,621,100,186,120,148,364,3827,239
01/02/2015,16,115,310,131,111,1852,2729,0,2366,0,98,51,276,79,154,2394,1366,609,1256,1303,2494,839,176,752,1180,876,465,400,2469,660,627,111,213,97,162,262,3834,373
01/02/2015,17,158,288,92,77,1894,2360,0,1592,0,94,45,194,63,143,1874,1169,600,1074,914,2210,747,148,684,739,911,481,296,1959,609,589,66,162,100,104,0,3472,181
01/02/2015,18,108,224,74,62,1723,1723,0,877,0,101,64,151,49,109,1407,947,456,1140,638,2016,612,127,654,537,891,598,263,994,563,586,112,182,110,126,0,2949,159
01/02/2015,19,151,195,51,87,1489,1309,0,430,0,74,100,223,52,58,893,715,380,975,496,1590,482,122,605,280,784,565,186,452,581,625,66,140,61,98,0,2628,228
01/02/2015,20,155,140,35,70,1192,828,0,262,0,59,44,114,19,56,890,514,275,501,364,1183,311,81,550,195,606,456,135,797,453,657,28,109,47,65,0,1840,151
01/02/2015,21,87,82,31,63,950,743,0,192,0,79,56,93,20,29,591,421,220,380,277,998,241,87,440,169,444,393,86,217,324,477,38,70,50,47,0,1829,84
01/02/2015,22,68,50,23,47,765,585,0,121,0,42,32,51,20,23,419,430,233,195,164,787,187,68,335,96,322,193,45,153,306,291,17,40,33,46,0,1573,64
01/02/2015,23,36,45,34,55,479,446,0,87,0,19,24,33,13,19,315,372,229,518,113,613,148,46,208,65,179,97,32,89,306,189,53,139,24,45,0,1479,41
02/02/2015,0,19,72,17,38,304,415,0,93,0,29,8,7,0,10,264,247,107,961,110,516,78,39,217,214,97,68,27,92,228,100,105,190,40,42,0,1080,38
02/02/2015,1,5,17,10,24,119,89,0,33,0,1,9,22,1,4,74,55,22,74,39,81,15,8,122,31,49,19,5,33,196,38,7,8,6,8,0,243,17
02/02/2015,2,8,14,4,9,51,52,0,22,0,5,0,3,0,2,18,47,18,67,21,47,7,7,80,15,37,14,8,17,152,12,8,4,15,5,1,120,9
02/02/2015,3,3,20,9,5,44,52,0,3,0,1,1,5,0,2,41,34,23,65,26,38,5,2,73,8,23,7,2,37,127,7,1,2,9,6,4,79,4
02/02/2015,4,4,16,3,14,59,63,0,14,0,7,6,1,0,1,42,38,33,14,19,52,17,1,48,24,13,5,6,43,371,10,6,7,16,7,9,132,8
02/02/2015,5,0,35,19,89,67,95,0,22,0,40,15,12,4,14,76,112,88,41,40,122,175,32,24,52,6,5,6,77,132,8,15,34,26,10,5,262,29
02/02/2015,6,0,180,149,641,137,164,0,67,0,330,94,57,6,110,279,459,236,234,69,414,663,109,88,141,21,20,24,234,39,26,51,40,57,63,18,620,48
02/02/2015,7,3,675,702,1959,364,462,0,210,0,1310,271,149,20,233,836,1057,532,490,187,1252,1791,395,126,466,54,45,73,750,133,76,162,122,178,227,39,1490,184
02/02/2015,8,55,1969,1759,5038,838,1017,0,571,0,2773,491,276,45,384,1747,2340,1295,808,358,2461,3490,935,271,669,184,130,129,1650,255,177,417,235,496,703,155,2932,653
02/02/2015,9,75,1159,788,2583,726,1153,0,647,0,1318,307,157,27,189,1189,1334,528,387,438,1637,2031,560,243,486,202,144,69,1037,259,207,323,190,411,520,152,2327,512
02/02/2015,10,17,707,458,944,931,1574,0,958,0,498,191,135,27,100,1134,895,308,345,504,1563,1352,380,337,372,355,208,93,1104,346,173,146,132,288,493,214,2282,565
02/02/2015,11,12,635,317,770,1258,2159,0,1485,0,375,233,163,33,159,1261,901,380,258,573,1777,1102,361,462,609,459,301,125,1200,474,228,129,147,273,460,186,2713,456
