Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth St,Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russel St (West),Melbourne Convention Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Russel St (South),QV Market-Peel St,The Arts Centre
1-Jan-13,0,,979,413,599,2562,2992,651,785,807,697,1140,4574,3103,529,4617,2165,628,1785,,,,,,,,,,
1-Jan-13,1,,246,140,190,2925,2888,654,740,355,399,485,1195,533,233,4202,1357,811,671,,,,,,,,,,
1-Jan-13,2,,93,54,91,1532,2046,286,343,204,194,334,398,123,67,2233,1867,1653,228,,,,,,,,,,
1-Jan-13,3,,77,34,46,802,1083,275,277,155,207,432,355,121,30,1028,1158,1017,117,,,,,,,,,,
1-Jan-13,4,,21,19,38,340,599,146,153,75,57,53,41,6,11,458,438,645,52,,,,,,,,,,
1-Jan-13,5,,27,11,22,115,269,69,91,46,11,13,41,25,10,233,209,322,37,,,,,,,,,,
1-Jan-13,6,,17,11,10,119,167,62,41,33,14,6,42,31,14,106,163,171,35,,,,,,,,,,
1-Jan-13,7,,31,26,16,85,129,28,46,40,13,14,69,23,30,100,170,94,29,,,,,,,,,,
1-Jan-13,8,,74,44,16,150,238,96,108,110,34,27,98,51,57,158,169,111,34,,,,,,,,,,
1-Jan-13,9,,117,77,36,299,413,255,225,161,36,66,115,51,96,303,292,113,100,,,,,,,,,,
1-Jan-13,10,,127,78,52,735,1084,759,794,392,61,102,209,92,119,583,510,166,162,,,,,,,,,,
1-Jan-13,11,,208,75,47,588,1596,1276,1200,762,87,70,369,219,178,1185,807,259,230,,,,,,,,,,
1-Jan-13,12,,243,92,59,1630,2000,1411,1740,766,93,72,533,266,203,1440,984,341,306,,,,,,,,,,
1-Jan-13,13,,203,102,35,2118,2228,1700,1940,782,82,51,635,342,174,1445,1051,371,281,,,,,,,,,,
1-Jan-13,14,,156,79,45,2191,2328,2149,2090,695,90,72,671,461,163,1872,1226,493,320,,,,,,,,,,
