Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre
01/01/2014,0,1544,893,404,435,2864,3196,687,936,969,886,1076,4535,3451,672,0,0,445,2842,430,2444,1011,398,2285,2343,632,0,98,2969
01/01/2014,1,1401,224,179,206,3007,3099,727,627,377,333,378,1113,617,226,4414,1394,1050,770,387,2174,866,342,1977,1343,784,430,92,2110
01/01/2014,2,608,127,97,140,1441,1845,403,406,296,169,200,366,193,111,2124,1455,1659,254,249,1851,560,216,1567,665,389,354,62,1068
01/01/2014,3,360,108,74,80,1004,1155,263,280,182,157,292,196,68,62,899,863,972,82,200,1076,342,145,1118,499,228,179,62,359
01/01/2014,4,156,75,33,25,452,550,160,187,74,59,32,43,18,25,536,528,634,41,133,739,227,87,619,119,151,94,32,161
01/01/2014,5,69,20,8,17,186,329,84,69,31,20,30,23,11,6,400,156,259,45,69,305,114,43,288,45,73,78,15,117
01/01/2014,6,48,23,14,21,152,165,49,42,26,12,12,23,4,7,111,113,142,29,61,196,131,26,228,74,37,38,6,51
01/01/2014,7,53,31,14,18,173,160,67,55,53,26,4,33,11,29,69,154,129,32,53,210,207,51,83,61,71,24,4,53
01/01/2014,8,64,50,35,15,205,228,114,117,94,39,19,96,38,43,149,174,112,33,66,270,243,46,63,72,21,38,8,93
01/01/2014,9,100,86,52,36,342,462,271,275,186,70,47,125,51,53,203,247,131,71,112,457,311,112,125,126,91,79,20,143
01/01/2014,10,289,105,88,39,782,936,734,748,594,99,48,218,101,109,492,504,195,104,302,941,504,148,277,283,259,270,34,363
01/01/2014,11,551,210,65,49,1253,1362,1484,1244,831,114,42,344,210,154,895,965,248,209,325,1431,521,102,425,518,434,117,56,547
