Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place
01/01/2015,0,1559,827,397,727,2807,3084,0,867,0,746,861,4263,1908,457,3992,1363,707,0,490,2588,886,461,2072,0,598,522,113,2714,884,280,478,1502,216
01/01/2015,1,1728,259,165,263,3197,3279,0,614,0,312,340,1031,448,235,2445,1180,1125,0,397,2220,903,342,1778,0,667,543,76,2145,1139,164,147,429,113
01/01/2015,2,701,101,68,95,1801,2373,0,397,0,180,236,459,218,87,2463,1278,1584,0,247,1424,722,165,1196,0,519,340,57,1407,969,57,49,207,80
01/01/2015,3,279,52,14,95,1144,1397,0,239,0,133,199,460,167,45,983,757,1112,0,172,1030,389,175,843,0,268,235,43,414,873,20,22,51,40
01/01/2015,4,136,30,11,45,337,585,0,111,0,44,32,86,38,26,471,387,591,0,128,472,239,60,672,0,230,236,34,147,382,20,7,39,23
01/01/2015,5,70,30,7,21,215,309,0,52,0,16,8,28,6,10,249,203,342,0,66,322,133,32,285,0,47,40,11,81,281,3,6,14,10
01/01/2015,6,52,39,6,18,159,167,0,43,0,13,3,16,5,10,131,139,160,0,72,214,185,36,127,0,34,38,9,69,172,6,6,9,14
01/01/2015,7,69,36,12,36,185,157,0,44,0,21,5,29,9,18,124,170,102,0,69,210,201,56,88,0,43,53,9,98,132,27,14,25,7
01/01/2015,8,93,49,24,23,257,208,0,109,0,39,20,76,15,51,206,180,117,0,106,357,287,75,79,0,62,43,22,128,74,30,27,23,39
01/01/2015,9,124,102,45,46,392,567,0,322,0,36,46,140,40,67,321,361,167,0,217,543,406,134,112,0,128,92,27,225,151,69,39,83,94
01/01/2015,10,289,162,87,58,539,948,0,774,0,87,39,224,47,110,773,725,289,0,305,1034,529,184,279,0,255,190,49,358,268,177,82,127,116
01/01/2015,11,492,237,86,63,978,1648,0,1389,0,114,47,415,108,145,1268,985,393,0,377,1504,607,157,376,0,558,437,81,799,426,298,79,101,158
01/01/2015,12,708,212,83,74,1281,2173,0,1879,0,75,62,502,160,235,1443,994,440,0,464,1719,564,175,511,0,924,759,59,1067,502,405,69,101,113
01/01/2015,13,817,193,96,57,1746,2476,0,2277,0,95,69,600,201,247,1774,1272,514,0,462,2090,557,163,612,0,1146,84,95,1404,745,563,47,152,98
01/01/2015,14,1074,255,90,89,1914,2624,0,2380,0,119,77,557,225,244,1778,1261,558,0,395,2140,539,215,868,0,1207,0,100,1431,667,561,56,129,72
