Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth St,Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russel St (West),Melbourne Convention Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Russel St (South),QV Market-Peel St,The Arts Centre
1-Jul-13,0,,27,13,9,221,190,46,36,44,18,8,13,10,2,135,135,68,12,,,,,,,,,,
1-Jul-13,1,,23,2,2,118,72,22,34,14,11,11,4,1,11,71,97,35,4,,,,,,,,,,
1-Jul-13,2,,10,1,9,44,52,10,21,22,8,3,7,2,1,15,45,14,2,,,,,,,,,,
1-Jul-13,3,,3,2,2,38,31,9,9,5,4,5,16,0,0,44,18,17,5,,,,,,,,,,
1-Jul-13,4,,6,3,8,21,48,5,10,12,2,1,5,0,0,24,26,29,5,,,,,,,,,,
1-Jul-13,5,,45,21,60,66,77,27,19,31,35,13,15,6,14,71,67,51,18,,,,,,,,,,
1-Jul-13,6,,180,159,434,121,182,91,74,87,354,46,42,11,98,238,306,169,55,,,,,,,,,,
1-Jul-13,7,,590,589,1869,255,388,235,220,302,1564,193,159,31,242,688,885,421,179,,,,,,,,,,
1-Jul-13,8,,1556,1500,4514,702,975,643,593,837,3218,352,285,59,561,1411,2188,955,315,,,,,,,,,,
1-Jul-13,9,,934,816,2113,786,1105,851,761,836,1587,198,188,53,209,999,1240,406,181,,,,,,,,,,
1-Jul-13,10,,563,488,774,1028,1635,1265,1254,1245,609,200,147,63,125,1178,870,307,137,,,,,,,,,,
1-Jul-13,11,,583,458,668,1353,2314,1876,2002,1595,474,215,193,91,166,1363,1089,342,237,,,,,,,,,,
1-Jul-13,12,,1314,647,965,2173,3360,3138,3103,2514,1401,330,394,197,480,1982,1893,512,376,,,,,,,,,,
1-Jul-13,13,,1394,716,1021,2839,4015,3900,3938,2748,1265,264,420,184,460,1982,2096,567,380,,,,,,,,,,
1-Jul-13,14,,722,538,853,2516,3590,3206,3224,2080,590,177,264,112,181,1783,1398,470,284,,,,,,,,,,
1-Jul-13,15,,691,569,998,2570,3448,3180,2951,1758,782,134,230,108,184,1845,1467,576,297,,,,,,,,,,
1-Jul-13,16,,662,809,2044,2474,3299,2604,2882,1549,1799,241,262,109,255,1839,1534,669,275,,,,,,,,,,
1-Jul-13,17,,1251,1570,4139,2167,2907,2424,2236,1129,2827,372,172,69,591,2604,2299,1258,295,,,,,,,,,,
1-Jul-13,18,,666,770,1796,1864,2071,1506,1065,684,1162,211,112,25,393,1422,1209,718,167,,,,,,,,,,
1-Jul-13,19,,358,243,429,1644,1311,833,108,318,317,85,89,36,128,738,690,321,76,,,,,,,,,,
1-Jul-13,20,,292,110,177,1307,998,620,16,276,174,97,76,24,52,528,566,229,29,,,,,,,,,,
