Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth St,Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russel St (West),Melbourne Convention Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Russel St (South),QV Market-Peel St,The Arts Centre
1-Jun-13,0,,101,55,47,769,841,172,233,116,32,20,9,10,11,268,292,151,2,,,,,,,,,,
1-Jun-13,1,,72,12,40,405,583,120,102,88,11,8,2,3,4,120,98,40,3,,,,,,,,,,
1-Jun-13,2,,19,11,15,172,377,55,54,44,2,8,3,2,2,82,98,38,5,,,,,,,,,,
1-Jun-13,3,,20,6,4,132,186,22,48,13,1,9,3,0,2,36,38,14,0,,,,,,,,,,
1-Jun-13,4,,15,1,10,64,121,20,26,9,3,1,7,8,1,43,46,40,1,,,,,,,,,,
1-Jun-13,5,,9,7,4,58,117,26,35,22,11,19,3,0,2,45,43,40,5,,,,,,,,,,
1-Jun-13,6,,38,27,21,95,112,26,55,26,53,9,2,0,14,69,49,73,15,,,,,,,,,,
1-Jun-13,7,,56,33,25,134,203,87,95,91,55,30,8,4,28,127,144,82,30,,,,,,,,,,
1-Jun-13,8,,132,87,66,271,405,253,285,264,139,40,24,14,26,352,230,161,36,,,,,,,,,,
1-Jun-13,9,,197,97,63,457,795,512,611,547,137,62,46,6,77,526,383,227,35,,,,,,,,,,
1-Jun-13,10,,185,121,107,794,1349,1061,1198,992,140,102,75,32,88,806,584,292,63,,,,,,,,,,
1-Jun-13,11,,209,150,68,1267,1852,1792,1853,1328,166,117,159,76,100,1112,739,294,72,,,,,,,,,,
1-Jun-13,12,,254,191,73,1795,2448,2290,2585,1529,151,139,381,147,140,1426,892,434,124,,,,,,,,,,
1-Jun-13,13,,357,168,139,2273,2889,2696,2736,1595,205,130,733,170,207,1755,1030,419,225,,,,,,,,,,
1-Jun-13,14,,375,140,65,2364,3091,3011,2981,1590,159,111,268,156,138,1667,1132,434,207,,,,,,,,,,
1-Jun-13,15,,338,185,88,2572,3111,3121,3176,1554,129,112,287,243,151,1767,1250,495,257,,,,,,,,,,
1-Jun-13,16,,449,178,69,2596,3066,3000,2978,1408,174,135,828,351,202,1745,1240,499,210,,,,,,,,,,
1-Jun-13,17,,502,187,52,2473,2629,2295,2189,1001,126,102,221,114,158,1502,1238,513,121,,,,,,,,,,
1-Jun-13,18,,493,155,61,2486,2062,1488,1024,534,100,121,212,67,99,1263,962,422,66,,,,,,,,,,
1-Jun-13,19,,459,130,69,2276,1807,927,573,509,76,98,168,66,87,1315,820,399,58,,,,,,,,,,
1-Jun-13,20,,293,91,57,1886,1479,539,407,275,71,56,169,108,49,959,738,325,24,,,,,,,,,,
1-Jun-13,21,,182,87,40,1901,1479,361,370,270,82,66,112,55,53,863,642,290,27,,,,,,,,,,
1-Jun-13,22,,244,130,61,1499,1226,400,298,248,44,62,86,34,41,1116,556,287,26,,,,,,,,,,
1-Jun-13,23,,167,79,65,1134,1143,408,368,273,46,65,64,31,25,704,572,290,20,,,,,,,,,,
2-Jun-13,0,,88,44,37,988,772,193,285,148,20,58,34,9,30,445,441,246,28,,,,,,,,,,
2-Jun-13,1,,36,27,33,630,803,148,241,106,26,30,11,0,3,231,212,101,4,,,,,,,,,,
2-Jun-13,2,,43,11,21,337,431,132,171,96,11,25,12,3,7,248,197,65,11,,,,,,,,,,
2-Jun-13,3,,16,21,20,235,352,102,157,49,5,5,7,1,1,103,113,42,5,,,,,,,,,,
2-Jun-13,4,,13,7,3,87,183,43,63,24,9,14,0,0,2,56,80,48,0,,,,,,,,,,
2-Jun-13,5,,20,3,37,47,103,24,53,22,5,6,1,0,1,51,62,42,2,,,,,,,,,,
2-Jun-13,6,,31,15,12,69,84,18,50,24,5,5,5,1,4,57,36,23,9,,,,,,,,,,
2-Jun-13,7,,43,27,9,116,161,54,74,69,26,35,17,23,10,89,112,56,24,,,,,,,,,,
2-Jun-13,8,,97,44,23,213,295,101,163,192,40,33,28,23,41,230,253,146,63,,,,,,,,,,
2-Jun-13,9,,151,71,54,394,632,432,419,444,72,48,57,28,81,460,519,179,126,,,,,,,,,,
2-Jun-13,10,,236,117,48,804,1084,1045,901,743,100,71,108,50,100,990,669,334,189,,,,,,,,,,
2-Jun-13,11,,269,180,53,1174,1676,1576,1446,1109,112,87,241,95,183,1373,815,372,303,,,,,,,,,,
2-Jun-13,12,,308,135,54,1889,2296,2089,2216,1147,97,86,331,218,171,1741,1093,432,397,,,,,,,,,,
2-Jun-13,13,,409,173,79,2265,2826,2625,2798,1459,117,87,358,183,194,2121,1206,471,459,,,,,,,,,,
2-Jun-13,14,,332,153,67,2371,2784,2829,2708,1436,110,109,367,178,198,2046,1328,534,1078,,,,,,,,,,
2-Jun-13,15,,291,125,66,2563,3133,2893,2867,1184,138,124,687,287,208,1888,1403,607,643,,,,,,,,,,
