Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West)
01/06/2014,0,258,143,74,33,1034,1070,208,308,190,16,18,10,3,19,373,452,304,22,154,706,264,88,989,85,401,479,50,150,858,261,43
01/06/2014,1,184,74,80,25,563,709,95,216,112,20,12,14,3,7,362,231,83,21,129,466,94,75,911,40,270,324,31,127,581,147,30
01/06/2014,2,112,50,51,16,385,471,116,160,109,15,17,22,2,5,403,178,91,16,113,410,69,44,851,39,156,257,21,229,620,76,10
01/06/2014,3,92,27,21,27,219,344,100,157,77,7,6,9,1,3,164,187,86,7,103,321,41,36,637,16,114,156,15,76,490,30,4
01/06/2014,4,43,16,4,21,85,156,41,82,57,16,10,1,0,1,72,83,54,46,92,93,28,28,267,17,29,78,17,32,231,32,2
01/06/2014,5,37,17,12,15,63,80,37,40,29,2,9,9,2,1,38,49,35,3,40,71,33,23,111,18,31,14,7,41,230,2,7
01/06/2014,6,33,23,4,13,73,147,49,43,47,17,12,18,5,6,54,35,25,25,66,96,78,53,102,57,24,20,10,121,130,8,8
01/06/2014,7,71,40,33,27,160,199,98,107,100,39,20,34,12,26,139,99,90,26,196,297,248,93,107,112,39,28,37,176,111,13,33
01/06/2014,8,118,107,58,45,295,411,215,208,244,68,27,60,20,36,283,269,139,69,290,598,320,111,107,212,66,55,77,257,148,44,58
01/06/2014,9,291,228,102,58,529,892,581,646,618,117,54,142,39,78,590,481,230,168,619,842,577,174,222,512,209,140,167,645,253,113,51
01/06/2014,10,516,272,105,76,841,1754,1201,1382,1117,111,75,136,41,115,1118,743,367,146,1017,1275,660,198,352,947,373,287,303,1131,440,202,80
01/06/2014,11,778,310,102,102,1163,2538,1786,2119,1453,91,78,148,60,97,1533,779,330,127,1217,1451,636,203,496,954,661,438,367,1474,626,300,64
