Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West)
01/06/2015,0,71,16,14,28,191,141,35,35,0,8,13,6,2,2,99,89,53,0,71,159,79,23,104,23,0,55,22,37,215,62,2,3,12,5,20,282,31,53,17,38,23,16
01/06/2015,1,31,6,5,17,78,59,21,17,0,4,5,5,0,3,50,20,20,0,27,68,4,4,94,4,0,13,8,11,140,15,1,4,6,0,11,110,24,21,5,36,23,12
01/06/2015,2,51,6,1,36,46,27,14,19,0,0,3,3,1,5,10,22,21,0,25,18,11,7,75,2,0,10,7,11,85,17,3,7,0,3,10,52,4,9,3,14,2,2
01/06/2015,3,15,4,3,11,37,35,11,11,0,2,1,5,0,2,34,19,19,0,25,33,12,2,53,1,0,7,3,37,84,4,4,6,0,8,2,67,4,5,3,6,2,1
01/06/2015,4,17,5,4,12,20,28,13,19,0,4,5,3,0,7,45,55,32,0,31,30,13,3,40,4,0,7,2,50,52,5,6,4,4,1,2,106,7,11,9,8,2,0
01/06/2015,5,19,48,25,104,89,78,20,19,0,40,23,12,4,21,116,189,125,0,33,126,171,27,49,29,0,1,6,88,193,11,12,26,9,7,9,267,28,23,24,12,7,4
01/06/2015,6,66,208,161,609,138,143,123,76,0,341,83,28,4,88,353,735,597,0,88,402,655,169,90,58,0,13,25,284,53,30,48,48,61,62,14,632,68,134,70,40,26,15
01/06/2015,7,290,688,691,2183,310,403,254,195,0,1420,326,112,13,203,973,1773,1160,0,195,1185,1794,419,156,85,0,51,63,807,161,70,168,104,126,205,44,1532,234,459,142,79,66,56
01/06/2015,8,691,1757,1439,4854,686,1027,761,677,0,2923,528,223,47,342,2157,3958,3253,0,393,2411,3619,942,255,296,0,122,143,1744,342,202,416,281,466,712,122,3403,687,1228,403,196,233,125
01/06/2015,9,632,1318,1035,3032,817,1065,820,678,0,1752,307,121,13,188,1341,2102,1489,0,428,1601,2178,636,294,410,0,126,101,1143,322,183,356,179,398,505,163,2641,585,906,245,313,300,158
01/06/2015,10,656,756,358,978,1064,1460,1093,1053,0,456,196,66,16,122,1068,1016,755,0,460,1598,1314,390,454,462,0,209,111,888,450,233,151,120,273,486,176,2699,663,1001,235,273,262,121
01/06/2015,11,840,552,326,808,1357,1740,1566,1605,0,386,206,78,13,128,1332,1066,723,0,593,1715,1127,306,531,396,0,248,101,1030,601,284,150,134,254,430,181,3083,665,948,327,399,400,179
01/06/2015,12,1451,1324,529,1002,2133,3013,2578,2598,0,906,411,162,43,524,1786,1312,1098,0,910,2281,1873,575,1262,616,0,671,149,1343,914,404,241,284,849,878,372,4057,939,1606,552,440,329,195
01/06/2015,13,1744,1433,566,1300,2315,3350,3066,3036,0,829,457,220,74,411,1942,1457,1146,0,951,2628,1579,560,1397,658,0,673,146,1269,1158,528,273,301,743,921,435,4011,935,1803,569,503,458,218
01/06/2015,14,1469,677,423,970,1903,2759,2206,2189,0,463,253,127,28,179,1701,1309,946,0,615,2287,1383,330,836,553,0,455,128,1255,710,323,151,173,344,541,273,3990,564,1413,661,348,359,166
01/06/2015,15,1595,548,482,1203,1999,2583,2193,1975,0,663,258,144,33,189,1673,1441,1015,0,613,2247,1765,336,767,573,0,436,175,1289,649,325,149,157,210,526,252,4023,601,1307,446,373,370,165
01/06/2015,16,1608,684,876,2375,1927,2542,2017,1845,0,1652,397,135,24,238,2090,2014,1451,0,552,2677,2537,469,744,590,0,328,122,1484,650,274,273,182,274,455,209,4179,454,1442,320,285,347,152
01/06/2015,17,1929,1270,1732,4246,2192,2614,2106,1672,0,2632,636,187,41,499,3540,3754,2817,0,609,3671,3878,644,920,808,0,429,164,2407,706,284,517,302,380,785,246,4920,523,2284,567,477,486,267
01/06/2015,18,1403,784,804,1824,1882,1911,1510,947,0,903,365,151,21,252,2224,2226,1514,0,526,2681,1955,369,778,501,0,631,141,1521,401,316,285,182,234,409,274,3414,277,1427,344,404,347,168
01/06/2015,19,961,271,230,673,1457,1165,663,457,0,230,147,42,13,106,1198,1109,797,0,274,1478,876,172,724,155,0,562,108,981,259,287,71,78,81,191,223,2323,234,611,153,233,190,101
01/06/2015,20,717,189,132,259,1168,923,363,256,0,65,77,18,5,52,644,620,384,0,249,1053,624,141,503,156,0,385,77,377,81,261,48,41,58,107,190,1602,116,399,82,220,124,78
01/06/2015,21,422,185,56,141,874,678,222,182,0,61,50,23,4,26,515,645,341,0,195,731,386,84,382,144,0,327,84,253,31,191,33,52,73,85,141,1228,137,315,57,122,73,42
01/06/2015,22,314,63,42,118,632,434,144,108,0,33,38,13,4,12,476,433,269,0,167,497,258,64,310,70,0,222,35,305,250,99,32,52,38,49,74,999,68,213,52,117,76,34
01/06/2015,23,169,67,22,68,417,321,107,39,0,25,5,15,0,20,214,271,184,0,105,382,137,40,235,313,0,98,23,63,177,77,23,43,25,25,33,880,57,149,31,91,63,43
02/06/2015,0,75,32,4,31,130,131,34,28,0,8,10,4,1,1,105,108,70,0,79,179,47,6,148,51,0,23,22,39,77,21,6,9,11,14,13,249,18,49,10,53,28,16
02/06/2015,1,32,8,0,11,61,75,16,15,0,0,4,0,0,1,25,20,20,0,53,59,13,6,78,8,0,19,10,11,42,25,9,4,4,6,5,83,17,25,4,34,19,6
