Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth St,Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russel St (West),Melbourne Convention Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Russel St (South),QV Market-Peel St,The Arts Centre
1-Mar-13,0,172,75,35,36,541,621,151,126,88,25,5,37,11,17,275,275,111,15,,,,,,,,,,
1-Mar-13,1,108,47,12,7,227,206,129,50,24,3,2,7,6,4,102,94,28,6,,,,,,,,,,
1-Mar-13,2,99,20,6,19,116,121,76,57,18,3,2,17,6,2,53,71,21,2,,,,,,,,,,
1-Mar-13,3,30,11,6,1,93,90,24,25,20,5,1,5,1,1,68,31,17,3,,,,,,,,,,
1-Mar-13,4,28,14,4,6,46,105,36,34,16,2,4,4,4,1,39,23,25,10,,,,,,,,,,
1-Mar-13,5,24,61,26,93,97,94,36,15,17,56,22,20,6,23,89,56,55,23,,,,,,,,,,
1-Mar-13,6,78,203,148,539,165,176,57,80,75,509,47,51,23,99,316,294,171,95,,,,,,,,,,
1-Mar-13,7,283,627,710,2099,384,432,270,248,393,1229,198,141,60,293,757,744,463,245,,,,,,,,,,
1-Mar-13,8,746,1637,1723,4732,866,1150,808,694,993,2648,332,290,98,561,1544,1830,1125,460,,,,,,,,,,
1-Mar-13,9,734,1075,877,2725,1073,1458,979,1032,1035,1546,305,256,91,253,1133,1117,543,210,,,,,,,,,,
1-Mar-13,10,830,646,545,1063,1287,2039,1365,1470,1288,640,200,238,92,153,1027,964,415,253,,,,,,,,,,
1-Mar-13,11,1209,689,460,880,1742,2144,1965,1997,1504,567,179,215,60,195,1322,1167,434,339,,,,,,,,,,
1-Mar-13,12,1903,1429,747,1194,3063,2683,3340,3211,2540,1371,481,369,135,694,1690,2132,604,280,,,,,,,,,,
1-Mar-13,13,2158,1545,743,1416,2978,3464,3761,3764,2720,1294,387,378,174,633,1821,2094,618,376,,,,,,,,,,
1-Mar-13,14,1817,777,535,1054,2702,2940,2877,2765,1916,804,178,203,122,256,1477,1643,707,203,,,,,,,,,,
1-Mar-13,15,1928,647,575,1172,2668,3174,2704,2716,1767,812,154,338,174,207,1650,1520,523,241,,,,,,,,,,
1-Mar-13,16,2145,690,853,2050,2783,3260,2926,2728,1625,1818,276,286,102,457,1761,1649,686,306,,,,,,,,,,
1-Mar-13,17,2419,1165,1305,3220,3068,3668,3471,3095,1688,2133,444,378,149,640,2499,2334,1225,526,,,,,,,,,,
1-Mar-13,18,2000,761,638,1305,3100,3119,3093,2305,1236,901,193,615,311,369,2396,1835,774,572,,,,,,,,,,
1-Mar-13,19,1602,470,282,534,2691,2552,2412,1746,836,334,149,598,328,269,2186,1314,460,276,,,,,,,,,,
1-Mar-13,20,1501,356,189,275,2725,2297,1720,1228,478,178,135,231,89,113,1484,1065,410,141,,,,,,,,,,
1-Mar-13,21,1295,252,138,193,2626,2113,996,637,432,137,120,222,68,108,1357,1097,463,91,,,,,,,,,,
1-Mar-13,22,971,235,140,143,2051,1740,590,499,362,123,178,353,139,88,2000,1329,324,123,,,,,,,,,,
1-Mar-13,23,632,237,170,101,1723,1598,446,433,306,175,86,146,45,49,1207,1144,384,330,,,,,,,,,,
2-Mar-13,0,344,145,87,67,1091,1232,336,325,237,67,53,48,19,17,745,1055,259,28,,,,,,,,,,
2-Mar-13,1,262,39,25,36,663,459,139,166,89,43,19,22,2,4,280,355,135,13,,,,,,,,,,
2-Mar-13,2,162,31,21,9,296,265,75,106,63,14,18,15,2,4,165,159,60,22,,,,,,,,,,
2-Mar-13,3,91,14,21,21,199,173,46,70,27,8,14,15,4,0,72,96,64,8,,,,,,,,,,
2-Mar-13,4,43,7,7,3,112,132,28,50,19,5,12,3,2,4,72,76,43,3,,,,,,,,,,
2-Mar-13,5,27,26,7,16,97,125,33,37,23,14,10,3,2,9,51,47,41,12,,,,,,,,,,
2-Mar-13,6,29,32,31,19,127,126,52,29,37,120,36,26,12,22,68,99,84,35,,,,,,,,,,
2-Mar-13,7,71,87,44,20,217,222,73,94,113,67,35,43,16,43,146,234,100,112,,,,,,,,,,
2-Mar-13,8,168,121,101,56,351,418,259,219,279,129,79,102,31,112,354,275,151,153,,,,,,,,,,
2-Mar-13,9,306,224,123,84,613,878,698,640,660,133,93,159,46,107,630,563,247,243,,,,,,,,,,
2-Mar-13,10,613,247,148,98,1024,1587,1358,1474,1133,168,121,301,126,191,1085,844,359,320,,,,,,,,,,
2-Mar-13,11,949,313,164,104,1682,1928,2098,2315,1592,157,134,449,189,195,1542,1303,512,337,,,,,,,,,,
2-Mar-13,12,1490,363,199,138,2669,2572,2733,2942,1722,143,99,424,259,259,2117,1323,454,417,,,,,,,,,,
2-Mar-13,13,1841,377,198,121,2949,3283,3184,3458,1884,150,133,714,327,243,2250,1482,501,375,,,,,,,,,,
2-Mar-13,14,1744,353,194,119,3329,3469,3388,3586,1739,245,139,502,389,253,2221,1575,570,449,,,,,,,,,,
2-Mar-13,15,1946,424,197,134,3242,3521,3443,3678,1941,142,130,678,342,232,2420,1763,663,469,,,,,,,,,,
2-Mar-13,16,1790,367,180,110,3151,3475,3270,3312,1662,201,91,474,218,187,2716,1596,588,604,,,,,,,,,,
2-Mar-13,17,1713,580,213,73,2732,3124,2623,2580,980,182,143,576,288,155,2651,1507,581,445,,,,,,,,,,
2-Mar-13,18,1646,629,159,90,2715,2386,1903,1274,598,202,114,962,550,144,2416,1324,529,436,,,,,,,,,,
2-Mar-13,19,1626,457,155,102,2503,2034,1240,733,494,143,114,923,697,136,2616,1290,530,337,,,,,,,,,,
2-Mar-13,20,1512,409,139,75,2314,1629,695,503,353,93,111,531,280,88,1887,1120,361,227,,,,,,,,,,
2-Mar-13,21,1222,338,93,75,2288,1625,512,475,323,58,74,331,202,66,1545,905,356,78,,,,,,,,,,
2-Mar-13,22,860,246,129,105,1855,1449,579,396,335,65,167,611,260,84,2435,1105,360,78,,,,,,,,,,
2-Mar-13,23,608,269,92,69,1610,1486,428,371,320,71,107,204,112,47,2548,1110,377,116,,,,,,,,,,
3-Mar-13,0,347,166,66,48,1191,1069,338,349,183,52,65,72,19,23,902,865,285,24,,,,,,,,,,
3-Mar-13,1,282,119,52,42,633,680,344,350,154,13,25,40,10,5,448,464,156,32,,,,,,,,,,
3-Mar-13,2,259,75,55,26,412,508,253,272,140,18,12,45,29,8,466,273,98,25,,,,,,,,,,
3-Mar-13,3,155,36,40,22,401,432,204,178,125,12,5,30,3,2,242,172,75,29,,,,,,,,,,
3-Mar-13,4,64,36,19,21,124,246,72,115,51,11,7,16,5,3,98,109,60,11,,,,,,,,,,
3-Mar-13,5,45,37,9,11,80,135,35,43,41,9,10,12,9,7,68,46,42,14,,,,,,,,,,
3-Mar-13,6,17,25,15,23,66,75,44,53,25,12,6,21,15,17,57,51,39,17,,,,,,,,,,
3-Mar-13,7,51,56,31,17,106,165,64,54,57,20,13,36,23,49,131,107,80,105,,,,,,,,,,
3-Mar-13,8,106,125,60,37,328,266,143,160,135,79,24,125,122,140,256,287,171,166,,,,,,,,,,
3-Mar-13,9,254,166,98,48,660,614,404,454,427,95,84,242,166,149,508,556,232,273,,,,,,,,,,
3-Mar-13,10,586,265,128,93,941,1136,1017,1020,782,116,82,293,400,198,1361,799,359,320,,,,,,,,,,
3-Mar-13,11,858,321,133,91,1461,1395,1744,1729,1117,105,80,518,713,322,1703,1074,418,405,,,,,,,,,,
3-Mar-13,12,1341,454,201,87,2263,2007,2353,2259,1284,111,127,744,851,316,2162,1247,495,387,,,,,,,,,,
3-Mar-13,13,1635,409,215,74,2674,2628,2898,2676,1372,137,85,680,700,306,2366,1440,581,532,,,,,,,,,,
3-Mar-13,14,1678,438,218,69,3020,2731,2989,2767,1315,104,150,730,845,285,2615,1587,615,440,,,,,,,,,,
3-Mar-13,15,1688,398,119,94,2813,2808,2963,2734,1276,168,148,855,971,261,2226,1402,560,484,,,,,,,,,,
3-Mar-13,16,1761,314,165,91,2602,2569,2603,2193,1013,143,69,725,761,208,2039,1316,561,703,,,,,,,,,,
3-Mar-13,17,1690,392,178,52,2595,2316,1916,1637,635,151,104,450,402,174,2021,1192,355,274,,,,,,,,,,
3-Mar-13,18,1277,280,107,63,2175,1642,1193,777,297,132,66,370,135,119,1239,922,397,223,,,,,,,,,,
3-Mar-13,19,1017,222,97,64,1858,1370,733,492,306,99,131,587,330,148,1094,796,360,767,,,,,,,,,,
3-Mar-13,20,851,208,96,71,1668,1186,411,322,235,78,114,472,263,112,1137,771,273,142,,,,,,,,,,
3-Mar-13,21,723,153,45,48,1388,841,329,244,171,65,75,308,168,53,857,640,270,78,,,,,,,,,,
3-Mar-13,22,415,67,43,24,883,607,195,178,124,59,66,164,57,36,688,530,208,41,,,,,,,,,,
3-Mar-13,23,232,80,29,15,476,375,120,76,60,42,48,56,34,25,400,390,143,26,,,,,,,,,,
4-Mar-13,0,82,27,11,9,235,224,54,48,31,5,5,37,9,5,131,205,85,19,,,,,,,,,,
4-Mar-13,1,68,11,3,3,112,103,36,46,26,8,12,10,6,3,27,86,31,8,,,,,,,,,,
4-Mar-13,2,32,22,14,3,42,31,15,28,8,0,0,9,7,2,26,28,12,7,,,,,,,,,,
4-Mar-13,3,32,4,6,4,27,38,10,19,11,5,9,9,5,1,38,37,15,6,,,,,,,,,,
4-Mar-13,4,9,20,2,0,7,15,6,8,2,3,1,2,0,1,33,19,24,14,,,,,,,,,,
4-Mar-13,5,20,52,24,86,54,72,16,23,20,59,29,16,6,23,70,70,41,21,,,,,,,,,,
4-Mar-13,6,81,241,150,595,183,175,69,77,65,541,67,65,17,127,307,366,200,88,,,,,,,,,,
4-Mar-13,7,280,664,628,1987,424,456,253,248,368,1300,210,162,45,371,802,948,503,343,,,,,,,,,,
4-Mar-13,8,862,1719,1638,5170,1154,1214,753,659,846,2861,366,257,90,669,1714,2512,1091,526,,,,,,,,,,
4-Mar-13,9,795,1013,923,2880,1185,1262,844,805,846,1576,282,208,54,248,1160,1259,461,224,,,,,,,,,,
4-Mar-13,10,1090,625,522,981,1521,1789,1474,1169,1281,643,149,137,61,156,1049,900,264,154,,,,,,,,,,
4-Mar-13,11,1381,692,465,973,1950,1672,1828,1885,1524,507,155,188,75,140,1112,1064,386,185,,,,,,,,,,
4-Mar-13,12,2323,1471,743,1104,3017,2697,3170,3264,2582,1386,380,290,139,543,1713,1939,523,267,,,,,,,,,,
4-Mar-13,13,2475,1544,728,1524,3307,3349,3665,3730,2835,1263,341,218,115,475,1654,2023,456,342,,,,,,,,,,
4-Mar-13,14,1945,745,494,992,3086,2866,2367,2472,1803,711,164,153,44,181,1537,1423,456,208,,,,,,,,,,
4-Mar-13,15,2081,655,548,1222,2939,2928,2416,2371,1567,783,159,130,42,186,1465,1215,454,183,,,,,,,,,,
4-Mar-13,16,2129,714,899,2338,2918,2880,2404,2209,1448,1693,281,179,61,283,1744,1395,560,222,,,,,,,,,,
4-Mar-13,17,2549,1296,1591,4079,3008,2926,2372,1888,1338,2759,446,284,116,705,2460,2327,1261,556,,,,,,,,,,
4-Mar-13,18,1887,839,761,1895,2522,2182,1778,1253,773,1286,175,375,112,491,1722,1448,772,590,,,,,,,,,,
4-Mar-13,19,1425,433,237,594,1912,1468,838,553,391,376,148,279,104,207,1137,906,375,246,,,,,,,,,,
4-Mar-13,20,1149,333,132,224,1746,1266,542,370,339,203,93,335,140,137,866,754,338,142,,,,,,,,,,
4-Mar-13,21,773,261,80,106,1264,942,432,283,239,100,82,216,63,71,765,638,257,81,,,,,,,,,,
4-Mar-13,22,387,120,61,82,838,640,255,211,140,51,70,106,63,33,601,547,201,50,,,,,,,,,,
4-Mar-13,23,223,124,52,53,482,395,147,112,83,41,73,52,19,24,420,392,167,18,,,,,,,,,,
5-Mar-13,0,103,50,17,29,239,190,59,39,37,16,5,20,9,5,171,139,41,14,,,,,,,,,,
5-Mar-13,1,45,16,3,7,118,85,34,15,18,3,14,5,1,3,64,79,20,1,,,,,,,,,,
5-Mar-13,2,32,13,1,11,33,55,12,8,8,7,10,1,3,1,25,46,10,7,,,,,,,,,,
5-Mar-13,3,19,4,3,4,19,15,11,39,1,9,11,8,9,2,30,24,12,2,,,,,,,,,,
5-Mar-13,4,19,11,2,4,23,37,9,8,12,4,1,1,5,1,38,22,23,13,,,,,,,,,,
5-Mar-13,5,17,57,32,85,49,72,21,29,28,53,27,10,4,25,80,78,54,52,,,,,,,,,,
5-Mar-13,6,86,256,182,606,214,169,72,71,109,601,62,72,17,155,330,370,190,136,,,,,,,,,,
5-Mar-13,7,342,694,736,2300,478,501,333,318,401,1468,216,194,56,419,935,1148,547,437,,,,,,,,,,
5-Mar-13,8,863,1783,1570,4888,1155,1304,782,698,985,2745,399,298,90,663,1674,2466,1062,577,,,,,,,,,,
5-Mar-13,9,844,1109,1001,2922,1223,1342,904,784,938,1648,257,160,52,262,1244,1437,485,220,,,,,,,,,,
5-Mar-13,10,949,612,523,963,1403,1567,1256,1095,1130,594,186,111,40,135,895,924,361,231,,,,,,,,,,
5-Mar-13,11,1418,682,430,902,1967,1642,1918,1726,1453,516,164,153,67,172,1187,1022,526,191,,,,,,,,,,
5-Mar-13,12,2409,1472,788,1272,3000,2661,3226,2996,2610,1428,430,267,114,589,1403,1788,559,281,,,,,,,,,,
5-Mar-13,13,2438,1567,753,1543,3343,3250,3592,3521,2759,1270,344,225,94,477,1437,1959,492,311,,,,,,,,,,
5-Mar-13,14,1734,744,508,1034,2740,2808,2663,2269,1784,723,220,174,73,204,1197,1286,377,241,,,,,,,,,,
5-Mar-13,15,1827,660,638,1246,2952,2901,2570,2014,1603,785,221,217,74,168,1590,1210,488,150,,,,,,,,,,
5-Mar-13,16,2062,632,935,2362,2867,2858,2463,1974,1390,1603,346,188,36,320,1611,1488,607,297,,,,,,,,,,
5-Mar-13,17,2224,1221,1650,4159,3170,2932,2657,2075,1358,2583,517,435,118,640,2579,2557,1325,563,,,,,,,,,,
5-Mar-13,18,1779,753,788,1906,2645,2293,2010,1276,839,1161,256,483,135,494,2057,1587,850,452,,,,,,,,,,
5-Mar-13,19,1372,362,346,594,2098,1621,1109,547,423,365,165,348,111,221,1353,1010,525,272,,,,,,,,,,
5-Mar-13,20,1085,256,158,318,1939,1384,652,377,236,190,104,312,142,129,1059,868,364,192,,,,,,,,,,
5-Mar-13,21,799,300,137,171,1615,1140,432,274,233,107,68,229,117,61,953,658,295,86,,,,,,,,,,
5-Mar-13,22,464,179,60,109,1048,645,303,191,179,88,64,165,50,44,1090,639,216,85,,,,,,,,,,
5-Mar-13,23,273,130,32,55,569,499,210,138,126,101,178,324,48,52,608,476,196,28,,,,,,,,,,
6-Mar-13,0,105,57,10,15,324,216,77,58,54,21,32,33,11,18,223,203,71,10,,,,,,,,,,
6-Mar-13,1,59,23,9,11,119,98,45,24,34,13,11,24,17,5,92,57,29,6,,,,,,,,,,
6-Mar-13,2,22,7,6,10,68,58,35,7,21,3,3,6,3,3,34,28,10,3,,,,,,,,,,
6-Mar-13,3,27,10,2,4,25,39,8,11,4,0,8,11,5,3,46,25,8,12,,,,,,,,,,
6-Mar-13,4,10,11,0,2,32,54,14,16,17,5,4,4,4,2,50,28,19,15,,,,,,,,,,
6-Mar-13,5,23,77,28,88,63,74,20,31,24,62,14,11,3,30,92,101,54,26,,,,,,,,,,
6-Mar-13,6,83,235,198,596,181,162,73,113,77,560,77,61,20,129,324,395,190,122,,,,,,,,,,
6-Mar-13,7,301,692,729,2216,392,479,268,264,384,1362,231,201,57,389,930,1203,499,380,,,,,,,,,,
6-Mar-13,8,855,1732,1625,4978,1088,1273,786,658,907,2931,349,294,88,612,1688,2481,1097,534,,,,,,,,,,
6-Mar-13,9,845,1025,879,2727,1209,1441,840,894,994,1520,284,180,39,264,1367,1496,537,257,,,,,,,,,,
6-Mar-13,10,974,601,542,1045,1386,1661,1053,1318,1163,569,147,170,78,143,1168,950,327,467,,,,,,,,,,
