Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre
01/03/2014,0,406,106,76,83,842,868,314,210,144,28,38,42,25,28,465,441,174,18,248,711,138,147,677,237,372,355,47,240
01/03/2014,1,273,43,27,36,531,431,205,139,63,20,10,24,7,8,236,219,76,1,165,337,47,30,476,94,203,251,37,113
01/03/2014,2,162,28,28,22,344,294,93,94,48,10,11,27,13,7,162,160,45,2,176,210,13,17,474,26,139,121,33,84
01/03/2014,3,90,12,16,19,255,222,60,75,33,15,27,8,6,3,76,91,39,6,92,183,23,25,256,29,109,54,12,42
01/03/2014,4,63,18,3,9,120,149,58,41,23,7,12,2,1,4,50,71,36,0,79,111,19,14,210,10,29,37,8,30
01/03/2014,5,66,50,13,16,64,115,77,73,36,15,11,9,1,3,85,73,54,2,59,124,25,35,187,38,46,41,17,60
01/03/2014,6,40,87,24,24,114,126,56,49,40,41,22,22,12,48,62,75,75,0,115,186,97,53,135,85,25,27,41,69
01/03/2014,7,87,94,43,34,257,213,78,108,127,61,43,56,26,62,188,121,120,10,231,289,241,76,79,223,32,26,80,81
01/03/2014,8,202,184,94,49,427,486,290,246,312,105,57,122,56,95,265,273,188,16,439,744,424,139,106,239,117,78,173,217
01/03/2014,9,382,169,120,68,573,991,680,586,662,122,81,143,84,97,509,481,255,26,762,950,474,165,196,339,153,90,277,434
01/03/2014,10,780,251,123,112,1018,1456,1359,1282,1137,112,123,230,96,130,860,793,244,40,1211,1540,637,194,369,534,378,228,343,614
01/03/2014,11,998,351,112,145,1715,2189,2131,2102,1312,144,109,260,145,178,1342,1149,347,22,1511,1925,680,133,514,578,646,346,405,1023
01/03/2014,12,1636,403,170,157,2657,2860,2410,2750,1657,170,113,349,206,170,1796,1154,465,49,1759,1956,719,147,841,792,789,0,412,1236
01/03/2014,13,2066,347,167,202,3017,3500,2833,2888,1759,112,62,344,220,245,1808,1340,447,83,1716,2305,648,208,758,962,1037,0,433,1273
01/03/2014,14,2347,389,134,257,2925,3328,3064,3137,2007,146,66,356,259,175,2239,1470,537,61,1473,2438,660,189,924,1113,960,616,344,1528
01/03/2014,15,2438,388,142,237,2886,3214,3302,3269,1579,136,67,394,265,200,2156,1620,519,74,1212,2595,695,202,1089,1028,1006,371,312,1612
01/03/2014,16,1891,393,147,184,3071,3246,2734,3049,1359,148,106,424,223,245,2138,1439,527,46,775,2264,723,212,1133,972,852,0,206,1269
01/03/2014,17,1900,535,160,188,2509,2993,2417,2483,918,158,101,397,293,196,2078,1445,519,96,554,2342,731,208,861,911,934,0,158,1539
01/03/2014,18,1615,439,143,233,2474,2181,1722,1033,575,130,128,432,272,173,2270,1367,438,88,408,2092,683,191,824,804,1027,766,147,1919
01/03/2014,19,1516,351,138,192,2482,1768,998,567,432,124,95,541,346,120,1682,1334,374,55,330,1776,388,155,1111,678,1089,1059,87,1040
01/03/2014,20,1395,356,81,169,2407,2100,714,454,285,88,109,497,214,90,1601,1014,419,24,396,1511,321,121,1005,434,1018,841,120,836
01/03/2014,21,1031,268,100,116,2184,1945,542,359,251,127,85,309,163,65,1399,848,292,32,263,1234,335,143,1048,359,791,649,74,482
01/03/2014,22,899,259,125,71,1713,1540,508,514,329,79,101,182,140,57,1554,775,394,84,274,1178,322,118,812,417,752,828,66,1111
01/03/2014,23,660,160,89,65,1472,1792,425,362,227,42,73,130,67,42,1028,726,303,12,197,1101,285,152,873,225,636,693,56,428
02/03/2014,0,494,126,68,86,1012,1333,355,227,198,51,73,69,36,16,584,474,213,4,206,843,204,79,890,174,511,530,48,211
02/03/2014,1,313,97,38,40,683,716,261,257,155,31,63,29,5,10,487,294,136,10,172,557,106,71,978,93,412,466,52,198
02/03/2014,2,216,52,83,39,483,510,241,218,77,16,10,31,5,9,444,241,96,8,166,524,42,81,614,34,184,318,46,131
02/03/2014,3,115,19,19,42,321,401,205,207,129,8,13,16,6,3,188,170,40,8,133,360,39,43,574,33,107,163,25,77
02/03/2014,4,56,19,12,18,78,227,73,110,39,12,5,6,4,4,79,112,51,1,78,127,43,28,393,16,46,74,8,45
02/03/2014,5,31,38,7,12,77,106,21,45,31,10,7,6,2,4,67,53,20,2,35,86,35,18,154,57,27,21,8,56
02/03/2014,6,42,39,20,18,78,119,39,40,28,15,9,13,8,20,85,34,23,2,50,113,80,42,198,35,12,13,21,57
02/03/2014,7,56,100,27,21,162,170,46,80,103,40,22,53,38,73,146,91,93,7,155,198,330,5,74,238,44,21,37,116
02/03/2014,8,171,306,69,24,263,318,162,157,256,81,35,130,65,162,252,237,132,15,291,498,496,158,87,447,77,41,53,322
02/03/2014,9,325,245,123,60,485,724,544,413,473,103,66,191,123,173,451,422,221,16,553,806,559,136,192,444,144,148,174,687
02/03/2014,10,710,313,102,87,1003,1355,1105,1153,816,93,84,378,142,148,994,532,270,134,1142,1296,276,150,344,517,296,217,237,1151
02/03/2014,11,976,298,98,112,1530,1775,1413,1984,1174,115,48,539,307,220,1653,816,444,107,1129,1372,443,151,592,727,553,374,388,1380
02/03/2014,12,1346,299,161,112,1980,2494,1926,2402,1202,118,42,503,403,196,1769,963,382,189,1388,1731,546,186,655,912,867,676,396,1898
02/03/2014,13,1796,297,151,147,2470,2761,2450,2361,1307,104,48,586,419,242,2487,1125,435,112,1668,1892,372,186,789,1072,988,674,381,2874
02/03/2014,14,2027,340,146,241,2525,2945,2953,2792,1214,118,78,620,469,238,2100,1082,543,83,1432,2214,428,219,888,1182,941,426,322,2514
