Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens
01/03/2015,0,1,131,91,116,939,1300,354,297,0,155,196,186,41,0,577,1108,402,69,305,982,616,215,772,202,348,494,33,285,716,275,47,97,94,546,76,2418,105,516,96
01/03/2015,1,3,114,62,56,559,988,236,241,0,42,96,23,5,0,454,472,165,27,223,624,290,122,848,95,273,303,49,203,637,114,21,108,62,334,43,1815,48,376,64
01/03/2015,2,1,34,29,41,315,1207,171,179,0,26,34,8,10,0,517,266,124,19,155,520,131,137,611,52,182,223,25,223,459,66,7,51,33,343,11,1443,29,236,75
01/03/2015,3,2,19,24,33,185,556,103,132,0,10,28,9,0,0,237,185,75,14,123,294,85,91,532,40,118,112,26,103,367,47,4,19,27,395,12,925,20,172,28
01/03/2015,4,0,20,18,24,80,490,41,62,0,8,8,14,1,0,73,67,37,13,66,116,87,42,291,29,57,70,21,21,175,50,1,7,30,139,14,520,15,111,6
01/03/2015,5,1,23,13,14,92,128,45,38,0,9,12,10,1,0,67,91,22,25,39,86,48,32,170,28,30,19,16,58,91,25,9,14,9,46,16,367,24,82,32
01/03/2015,6,2,38,13,12,61,89,45,50,0,18,17,12,4,0,64,94,40,60,63,103,107,39,102,71,9,16,6,82,115,9,20,24,4,14,4,269,9,57,47
01/03/2015,7,0,60,33,21,173,160,69,73,0,33,10,50,10,0,141,297,109,86,168,257,338,44,105,147,32,48,24,215,125,25,28,32,40,28,10,560,36,137,106
01/03/2015,8,7,137,75,51,336,360,160,156,0,71,24,126,30,0,369,621,147,223,371,567,645,119,108,342,115,41,86,417,138,49,66,68,72,55,35,903,126,255,223
01/03/2015,9,39,165,105,50,580,728,562,488,0,99,52,257,41,0,693,790,237,320,617,929,715,188,219,574,152,128,179,873,213,122,54,106,167,123,89,1469,145,630,289
01/03/2015,10,57,261,126,105,966,1286,1140,1123,0,85,57,463,75,0,1244,1290,396,469,1068,1334,863,219,360,972,341,318,261,1668,335,279,80,176,168,144,126,2094,175,1011,531
01/03/2015,11,18,337,175,105,1442,2185,1671,2098,0,112,66,408,87,0,1775,1763,435,526,1483,1836,983,185,523,1164,723,528,422,1872,533,367,111,177,178,172,243,3065,232,1528,721
01/03/2015,12,24,388,166,116,2138,2592,2306,2352,0,80,136,528,155,0,2284,1802,473,1021,1696,2072,957,192,813,1572,1168,817,412,2020,626,518,106,172,71,164,377,3491,281,2125,913
01/03/2015,13,34,364,129,113,2556,3030,2857,2739,0,108,93,571,201,0,2678,2026,608,1320,2001,2308,879,248,934,1894,1433,1003,515,2399,844,573,72,135,75,235,452,4160,315,2174,1180
01/03/2015,14,56,413,218,110,2548,3221,2991,3130,0,106,83,816,224,0,2876,2482,620,1318,1688,2469,846,181,962,2169,1295,695,353,2641,733,701,115,185,138,155,390,4123,256,2224,1238
01/03/2015,15,58,355,132,130,2544,3115,2918,3012,0,108,76,627,217,0,2550,2597,787,1540,1407,2571,943,237,939,2078,1195,590,332,2355,805,697,119,183,108,173,392,4316,234,2417,1194
01/03/2015,16,38,331,158,120,2246,2884,2749,2799,0,111,79,538,141,0,2585,2290,641,1867,868,2701,1057,208,970,1667,1021,479,233,2163,692,881,114,270,94,168,383,4089,199,2330,1216
01/03/2015,17,43,330,214,141,2351,2502,2050,1943,0,96,120,446,138,0,2291,2142,668,1036,563,2330,942,250,948,1412,1020,616,176,1673,659,674,88,146,106,152,291,3635,284,2180,1009
01/03/2015,18,35,368,89,108,2252,1890,1437,1076,0,140,59,336,83,0,1708,1769,575,626,434,1995,847,200,830,1221,1096,690,123,888,678,735,90,181,92,131,306,2863,219,1757,608
01/03/2015,19,27,267,82,92,2144,1497,917,510,0,65,55,272,83,0,1709,1383,439,1267,460,1776,577,141,814,506,1185,786,122,1225,690,776,72,163,107,140,423,2918,251,1352,577
01/03/2015,20,22,164,72,92,1864,1277,461,395,0,71,92,293,116,0,1093,1235,363,394,406,1475,461,134,711,328,918,707,93,568,712,847,60,104,70,101,403,2175,183,894,295
