Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth St,Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russel St (West),Melbourne Convention Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Russel St (South),QV Market-Peel St,The Arts Centre
1-May-13,0,82,16,12,17,196,166,57,43,37,11,13,5,0,6,69,105,48,9,,,,,,,,,,
1-May-13,1,31,20,7,2,85,59,10,12,4,2,3,2,3,1,17,26,13,4,,,,,,,,,,
1-May-13,2,36,14,2,10,35,55,22,11,15,2,2,0,0,2,21,37,36,10,,,,,,,,,,
1-May-13,3,21,10,5,1,29,22,13,19,3,0,3,6,4,3,41,24,4,15,,,,,,,,,,
1-May-13,4,10,21,0,3,21,42,13,19,14,3,1,5,5,4,38,17,36,4,,,,,,,,,,
1-May-13,5,21,62,25,88,86,78,34,18,20,43,13,7,1,24,83,76,42,29,,,,,,,,,,
1-May-13,6,73,246,194,596,202,171,63,99,102,540,78,50,13,134,315,383,192,109,,,,,,,,,,
1-May-13,7,286,689,698,2278,377,488,325,250,399,1623,228,160,44,372,853,1047,470,251,,,,,,,,,,
1-May-13,8,803,1718,1650,5169,886,1176,837,611,932,3094,388,268,79,581,1745,2430,1156,390,,,,,,,,,,
1-May-13,9,801,1003,957,2573,979,1277,885,741,894,1487,247,174,65,212,1079,1202,508,219,,,,,,,,,,
1-May-13,10,906,562,467,932,1134,1691,1254,1071,1089,548,130,112,59,133,865,842,281,128,,,,,,,,,,
1-May-13,11,918,632,383,702,1430,1958,1627,1498,1321,450,113,129,76,147,920,812,278,244,,,,,,,,,,
1-May-13,12,1633,1243,589,1113,2366,3223,2784,2792,2182,1406,334,201,111,418,1622,1481,623,268,,,,,,,,,,
1-May-13,13,2011,1373,724,1298,2902,3525,3396,3438,2609,1373,290,280,153,453,1555,1745,552,213,,,,,,,,,,
1-May-13,14,1597,716,550,938,2192,2864,2488,2431,1706,666,107,111,50,188,1285,1183,452,158,,,,,,,,,,
1-May-13,15,1588,587,568,1168,2143,2900,2240,2160,1410,857,167,81,32,161,1591,1090,445,79,,,,,,,,,,
1-May-13,16,1550,602,875,2351,2240,2700,2381,2190,1293,1879,295,96,31,270,1517,1318,668,200,,,,,,,,,,
1-May-13,17,2164,1167,1529,3935,2480,2971,2477,1984,1257,3271,406,186,69,602,2308,2296,1360,383,,,,,,,,,,
1-May-13,18,1673,775,786,1778,2476,2288,1861,1112,784,1399,297,138,56,387,1752,1442,737,567,,,,,,,,,,
1-May-13,19,998,428,284,525,1808,1503,928,416,384,386,122,87,41,114,1035,746,308,739,,,,,,,,,,
1-May-13,20,767,227,102,190,1589,1073,452,283,218,169,58,57,22,60,613,559,253,151,,,,,,,,,,
1-May-13,21,577,183,104,146,1229,744,279,290,158,112,53,64,37,44,506,562,255,44,,,,,,,,,,
1-May-13,22,369,147,82,83,829,596,133,215,114,73,32,27,4,29,738,409,177,1312,,,,,,,,,,
1-May-13,23,205,59,51,29,455,405,79,126,76,17,40,9,0,10,272,207,111,62,,,,,,,,,,
2-May-13,0,76,37,21,19,142,179,43,78,23,12,13,5,3,8,91,124,45,10,,,,,,,,,,
2-May-13,1,71,19,2,13,70,75,31,21,19,5,8,3,2,3,38,52,31,3,,,,,,,,,,
2-May-13,2,21,13,2,3,40,46,18,14,8,0,8,3,1,0,18,33,17,2,,,,,,,,,,
