Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West)
01/05/2015,0,3,54,17,43,332,451,64,81,0,15,16,31,5,10,157,209,68,13,105,219,137,18,229,27,0,120,43,72,162,86,11,32,41,0,24,528,45,124,36,68,31,19
01/05/2015,1,1,11,8,20,179,159,54,31,0,7,14,7,2,4,60,62,32,20,70,91,27,6,201,12,0,52,16,42,134,31,2,8,17,0,7,243,18,62,15,29,15,15
01/05/2015,2,0,11,13,23,140,137,31,34,0,6,2,4,0,1,42,64,18,4,56,50,24,6,136,7,0,39,12,23,135,21,4,6,8,0,9,161,13,51,12,8,4,1
01/05/2015,3,1,7,6,8,135,87,24,18,0,2,3,9,0,0,33,50,21,6,49,34,31,17,94,5,0,25,4,25,81,5,3,7,29,0,1,167,2,28,9,18,2,3
01/05/2015,4,0,12,4,6,75,63,28,30,0,1,4,19,0,4,44,70,39,11,30,61,18,4,100,9,0,34,2,47,116,6,13,7,10,0,3,187,9,44,12,13,6,4
01/05/2015,5,1,46,32,103,76,101,17,14,0,40,20,14,2,20,91,224,85,33,71,126,197,25,66,59,0,22,9,113,32,7,17,25,17,0,10,318,32,97,128,28,35,29
01/05/2015,6,0,222,182,582,148,147,119,65,0,358,103,73,13,127,275,859,240,157,177,520,657,125,68,220,0,23,35,302,58,32,77,64,62,0,11,754,54,246,165,48,40,27
01/05/2015,7,3,782,695,2155,444,467,248,229,0,1297,274,158,37,221,839,2128,532,431,300,1079,1869,501,169,452,0,69,144,858,149,86,214,110,207,0,65,1694,241,766,389,147,147,113
01/05/2015,8,21,1848,1580,4757,865,1143,704,665,0,2735,491,286,51,392,1952,4563,1332,645,574,2473,3464,917,318,959,0,139,174,1968,305,176,460,265,509,0,149,3589,650,1531,569,414,515,238
01/05/2015,9,19,1251,956,2536,1018,1397,903,852,0,1409,266,182,57,196,1283,2376,603,388,753,1803,2192,627,359,525,0,183,194,1303,321,197,327,219,437,0,149,2907,660,1172,495,584,594,233
01/05/2015,10,23,699,496,1119,1348,1782,1401,1479,0,547,264,176,48,163,1077,1699,408,302,1016,1681,1334,398,476,464,0,277,245,1004,426,242,206,160,339,0,160,2909,659,1198,529,521,539,262
