Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth St,Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russel St (West),Melbourne Convention Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Russel St (South),QV Market-Peel St,The Arts Centre
1-Nov-13,0,174,35,27,33,446,570,145,94,54,10,5,,2,5,153,184,74,12,111,389,72,42,389,35,132,148,16,72
1-Nov-13,1,132,22,18,23,212,290,79,82,48,3,2,,0,1,91,66,33,1,89,144,25,14,241,6,131,132,10,32
1-Nov-13,2,134,20,6,10,148,146,38,46,31,0,6,,3,2,63,34,13,4,82,68,9,31,301,9,88,59,19,43
1-Nov-13,3,39,10,5,14,130,78,20,20,13,3,7,,3,0,47,26,15,7,55,47,9,9,158,7,48,25,13,41
1-Nov-13,4,16,26,6,9,52,86,18,5,14,2,3,,0,0,38,20,29,5,45,39,16,9,139,16,14,20,7,38
1-Nov-13,5,23,86,23,77,69,110,31,31,20,48,8,,6,25,79,115,63,18,73,174,157,30,58,58,13,11,11,103
1-Nov-13,6,82,214,169,667,186,206,83,102,85,353,82,,23,131,335,472,220,88,197,589,602,142,108,206,56,35,66,314
1-Nov-13,7,281,752,823,2225,393,503,348,259,361,1290,180,,112,319,849,1055,548,226,342,1342,1845,421,164,391,62,57,107,931
1-Nov-13,8,703,1576,1650,4934,878,1023,871,651,885,2700,316,,184,488,1504,2290,1060,339,562,2429,3258,863,330,681,169,167,219,1648
1-Nov-13,9,713,965,782,2211,835,1378,1056,989,1091,1239,209,,82,239,1117,1160,444,156,706,1647,1687,523,317,338,212,124,159,1198
1-Nov-13,10,813,599,493,934,726,1834,1375,1504,1307,479,261,,76,136,1057,935,405,171,911,1597,1229,496,392,429,270,248,216,867
1-Nov-13,11,1055,672,507,776,1472,2536,1950,2254,1657,477,247,,104,245,1379,1159,513,297,1234,1947,1303,497,671,445,474,397,206,1370
1-Nov-13,12,1948,1635,632,1211,2647,3571,3318,3868,2682,1220,410,,243,776,1782,2150,665,358,1940,2719,1929,648,1234,724,904,806,327,1626
1-Nov-13,13,2057,1464,756,1391,2649,3634,3691,4405,2903,1064,328,,247,674,1632,2026,606,400,1778,2877,1762,721,1150,783,962,765,333,1684
1-Nov-13,14,1635,738,544,970,2336,3203,2897,3165,2077,672,197,,160,286,1806,1512,548,377,1192,2623,1416,419,869,633,690,433,271,1683
1-Nov-13,15,1794,647,604,1162,2232,3193,2719,3240,1813,847,182,,137,236,1670,1455,605,194,1055,2964,1737,475,939,789,744,503,226,1607
1-Nov-13,16,1997,709,916,2302,2408,3249,2837,3281,1775,1801,233,,150,498,1818,1765,835,288,766,3228,2757,560,946,907,766,560,187,1492
1-Nov-13,17,2263,1141,1329,2995,2997,3645,3569,3403,1811,2032,244,,176,673,2507,2363,1147,419,600,3640,3259,566,1253,1260,860,593,196,2345
1-Nov-13,18,2015,737,526,1217,2998,3189,3059,2927,1178,797,170,,211,304,2048,1603,732,318,462,2814,1686,322,1217,926,1118,834,168,1899
1-Nov-13,19,1786,457,308,454,2644,2469,2287,2035,751,326,129,,137,183,1664,1355,539,172,430,2016,899,191,1273,700,1165,1018,122,1610
1-Nov-13,20,1545,402,181,272,2748,2326,1715,1412,479,204,74,,126,127,1155,1153,388,110,375,1775,577,147,1170,517,1145,1007,140,567
1-Nov-13,21,1343,341,123,154,2445,1791,837,573,282,143,90,,109,79,1544,950,429,84,317,1428,510,145,1000,388,1024,783,109,1396
1-Nov-13,22,844,210,88,121,1721,1480,452,381,258,128,57,,72,53,1047,700,311,69,210,1185,345,132,985,265,860,788,73,820
1-Nov-13,23,666,170,73,100,1360,1057,331,354,216,58,49,,29,34,597,574,333,28,225,1017,268,120,898,207,637,696,59,254
2-Nov-13,0,348,78,23,49,777,965,190,184,121,48,26,,37,20,361,381,220,30,167,674,148,59,588,161,442,445,42,161
2-Nov-13,1,188,50,22,24,388,483,87,87,51,15,14,,14,6,141,205,106,23,127,272,48,31,567,54,176,246,23,102
2-Nov-13,2,135,37,14,15,211,275,87,53,50,13,12,,6,2,101,101,36,5,70,184,20,44,316,40,162,178,31,58
2-Nov-13,3,44,15,2,7,129,162,42,64,31,11,6,,0,5,62,63,34,12,59,168,12,19,316,13,83,130,12,49
2-Nov-13,4,36,37,9,10,55,98,30,46,13,2,5,,0,1,62,31,34,2,54,59,16,4,185,10,47,202,11,47
2-Nov-13,5,31,37,25,12,55,90,14,29,27,15,6,,0,6,59,43,47,1,91,85,55,14,191,45,29,136,14,51
2-Nov-13,6,49,65,24,6,78,150,40,52,70,20,10,,7,26,83,72,69,31,143,153,139,48,97,78,26,43,22,59
2-Nov-13,7,110,97,51,34,213,203,129,91,144,55,20,,31,58,148,217,138,109,246,387,279,47,92,102,55,38,71,94
2-Nov-13,8,177,167,100,52,362,517,335,313,297,90,48,,201,109,402,328,146,135,455,729,474,140,148,306,95,81,142,375
2-Nov-13,9,329,218,110,63,627,975,708,758,577,113,73,,116,149,664,728,306,129,807,1133,690,170,221,413,151,130,247,648
2-Nov-13,10,551,218,119,86,640,1526,1201,1280,889,120,115,,121,217,885,943,423,182,1199,1460,1127,152,290,420,296,211,377,642
2-Nov-13,11,926,249,133,95,1495,2071,1835,1861,1081,123,63,,183,198,1493,1015,455,213,1454,1721,1135,197,485,556,476,282,387,1496
2-Nov-13,12,1375,298,132,82,2168,2549,2370,2543,1260,149,82,,188,174,1789,1038,427,275,1677,1865,900,131,592,715,802,489,428,1676
2-Nov-13,13,1695,318,145,140,2618,2958,2959,2964,1387,134,61,,225,204,2088,1105,436,313,1687,2176,732,138,692,842,959,442,384,2512
2-Nov-13,14,1792,248,135,87,2706,2998,3207,3177,1484,135,63,,241,227,1664,1160,491,311,1546,2129,711,147,724,914,933,418,370,1560
2-Nov-13,15,1829,269,112,78,2720,3204,3161,3173,1370,127,64,,231,224,1948,1161,494,323,1197,2273,750,178,889,938,905,397,304,1640
2-Nov-13,16,1803,298,167,78,2534,2975,2740,2950,1267,151,61,,291,214,2518,1182,463,327,678,2353,835,141,858,828,836,398,227,2071
2-Nov-13,17,1756,332,126,73,2548,2610,2439,2279,737,150,104,,237,183,2169,1237,501,318,431,2237,989,213,1004,862,910,498,179,1796
2-Nov-13,18,1548,421,111,98,2559,2282,1735,1281,462,211,102,,465,192,2471,1322,468,351,406,2263,1095,232,987,704,974,714,135,1735
2-Nov-13,19,1282,346,114,76,2491,1933,1170,680,432,136,81,,337,97,1892,1351,476,139,370,1791,720,227,1141,443,1090,914,139,1414
2-Nov-13,20,1182,408,123,64,2184,1671,583,437,338,112,94,,204,80,1633,1056,422,138,308,1589,562,247,1058,374,1083,873,112,861
2-Nov-13,21,1050,246,79,60,2027,1392,385,397,228,77,75,,143,43,1369,906,350,92,272,1325,286,154,935,267,775,730,99,1272
2-Nov-13,22,713,263,98,67,1650,1138,338,315,251,78,84,,99,49,1074,823,383,48,287,1235,274,110,957,236,692,881,84,644
2-Nov-13,23,562,194,80,65,1335,929,274,306,197,56,70,,46,45,813,652,404,21,258,1008,312,102,818,275,442,698,55,283
3-Nov-13,0,344,114,62,44,792,697,267,296,113,30,63,,23,12,502,492,294,23,175,693,155,85,933,178,325,507,44,196
3-Nov-13,1,181,47,38,61,446,401,140,182,117,27,14,,11,4,243,279,126,9,115,389,64,61,680,86,212,380,28,85
3-Nov-13,2,106,22,23,24,294,358,100,158,59,12,9,,8,4,159,158,75,9,88,249,40,46,629,48,171,237,17,53
3-Nov-13,3,72,24,12,9,194,258,67,79,35,7,9,,0,8,91,105,81,5,65,210,22,29,404,16,132,171,23,34
3-Nov-13,4,41,26,11,27,91,109,41,52,15,9,8,,4,8,56,63,30,7,51,87,26,25,241,21,62,92,12,27
3-Nov-13,5,23,19,10,3,76,88,21,37,31,8,1,,1,5,68,52,41,1,37,58,29,17,109,12,39,20,3,49
3-Nov-13,6,39,34,11,10,56,110,37,41,40,19,9,,1,10,54,56,43,12,57,74,62,25,105,42,14,23,17,82
3-Nov-13,7,82,52,34,23,118,178,66,79,79,27,18,,21,38,126,121,80,53,152,251,217,53,92,67,23,35,32,177
3-Nov-13,8,118,105,53,48,351,350,117,179,198,76,36,,32,82,278,246,164,129,346,531,334,93,84,155,80,36,73,364
3-Nov-13,9,246,144,86,45,565,759,524,493,501,72,36,,66,79,527,470,183,107,591,685,403,189,187,232,110,84,163,709
3-Nov-13,10,620,230,115,70,752,1279,1114,1164,889,99,37,,85,112,1045,759,298,152,1151,1287,567,177,336,442,285,308,263,1253
3-Nov-13,11,940,275,108,62,1276,1936,1624,1874,1096,101,54,,131,128,1304,1002,385,187,1479,1538,635,186,408,615,464,449,282,1390
3-Nov-13,12,1277,302,115,54,1739,2295,2215,2357,1228,107,54,,117,73,1499,1160,379,158,1746,1775,545,182,758,545,671,681,382,1634
3-Nov-13,13,1557,279,109,62,2260,2494,2689,2751,1362,92,48,,100,128,1971,1228,497,236,1587,1999,516,157,772,622,971,716,369,2094
3-Nov-13,14,1626,344,143,69,2304,2737,2782,2881,1451,75,63,,92,122,2157,1442,626,253,1583,2167,567,121,821,904,855,580,312,2903
