Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place
01/11/2014,0,375,54,56,86,1100,1339,211,186,0,21,27,58,13,37,497,470,231,0,202,688,240,96,630,0,414,0,30,0,535,246,35,72,47
01/11/2014,1,207,31,25,44,553,998,115,194,0,24,18,13,10,6,234,267,134,0,224,282,89,54,562,0,241,335,32,0,336,118,13,37,15
01/11/2014,2,106,26,22,12,520,605,89,100,0,21,19,9,1,3,130,142,61,0,147,209,39,31,454,0,138,230,21,0,265,30,10,6,17
01/11/2014,3,101,23,8,15,224,495,32,64,0,7,29,11,0,5,83,119,80,0,121,193,33,15,323,0,79,135,25,0,230,15,3,2,6
01/11/2014,4,39,28,10,8,91,120,40,46,0,11,5,9,0,0,76,57,32,0,84,107,52,20,142,0,39,37,16,0,81,19,7,10,17
01/11/2014,5,28,27,21,13,88,110,32,36,0,3,11,6,0,4,66,72,72,0,79,127,85,18,144,0,18,14,24,0,33,11,12,17,11
01/11/2014,6,58,64,29,13,142,144,61,70,0,25,12,17,4,6,92,118,94,0,231,183,216,54,97,0,27,29,59,0,95,12,19,29,26
01/11/2014,7,74,104,55,40,280,316,116,152,0,72,37,65,14,33,208,277,156,0,366,496,427,109,94,0,45,42,88,0,114,27,35,41,60
01/11/2014,8,149,166,81,69,424,670,351,375,0,107,62,161,54,45,443,433,229,0,559,891,599,201,139,0,96,58,181,0,186,66,80,84,162
01/11/2014,9,380,169,109,103,661,1196,713,753,0,165,75,216,25,93,772,923,435,0,953,1312,882,223,200,0,208,135,240,0,290,138,73,123,168
01/11/2014,10,539,245,116,111,842,1694,1260,1190,0,123,100,191,25,99,1062,1008,501,0,1296,1554,1186,301,353,0,413,263,390,0,427,191,74,127,215
01/11/2014,11,897,250,137,132,1433,2257,1641,1729,0,124,51,158,49,151,1199,972,389,0,1616,1695,1105,192,491,0,687,437,385,0,582,281,62,105,130
01/11/2014,12,1040,254,126,110,1863,2707,1958,2215,0,88,83,121,28,109,1424,1021,428,0,1768,1694,842,197,594,0,896,623,441,0,655,263,87,121,98
01/11/2014,13,1321,276,148,111,2234,2904,2187,2585,0,95,50,185,33,116,1422,1002,425,0,1699,1835,688,200,659,0,973,549,354,0,675,281,68,109,154
01/11/2014,14,1395,240,136,100,2368,3007,2391,2752,0,91,55,166,45,125,1461,1133,473,0,1513,2075,772,255,746,0,933,488,311,0,712,361,83,96,106
01/11/2014,15,1370,263,112,86,2030,2828,2194,2848,0,112,40,167,49,129,1674,1089,500,0,1031,2056,801,209,742,0,882,373,193,0,672,258,54,90,110
01/11/2014,16,1401,243,146,81,2028,2817,2245,2551,0,100,51,195,30,168,1633,1243,598,0,587,2123,942,231,786,0,992,635,153,0,690,370,76,137,134
01/11/2014,17,1217,281,97,63,1512,1995,1402,1336,0,112,47,131,50,109,1296,970,494,0,275,1640,677,217,503,0,793,475,83,0,674,178,76,126,58
01/11/2014,18,1152,367,148,65,2185,2208,1390,1008,0,208,108,351,130,135,2231,1357,677,0,408,1888,1090,393,1014,0,1157,961,116,0,913,669,95,116,220
01/11/2014,19,1047,322,110,93,2104,1726,756,567,0,104,86,206,49,93,1481,1141,507,0,433,1612,723,338,1091,0,1121,1069,102,0,849,702,62,147,247
01/11/2014,20,862,308,70,49,1939,1243,444,392,0,107,68,185,27,61,1397,825,401,0,342,1456,455,196,922,0,916,875,84,0,754,892,49,82,185
01/11/2014,21,666,129,94,62,1587,1129,332,331,0,84,65,156,33,42,1336,835,448,0,234,1148,460,187,882,0,760,746,58,0,732,878,48,95,181
01/11/2014,22,584,186,69,64,1616,1211,277,265,0,65,60,119,32,43,662,687,403,0,229,891,507,246,770,0,673,902,77,0,749,631,50,82,161
01/11/2014,23,368,122,66,57,967,1206,237,171,0,70,59,90,12,28,440,577,401,0,211,775,408,161,671,0,394,465,46,0,772,354,46,90,117
02/11/2014,0,234,43,40,54,588,894,103,161,0,23,22,42,5,13,251,334,225,0,126,466,192,96,541,0,250,386,21,0,536,196,22,23,91
02/11/2014,1,87,44,24,33,284,661,87,128,0,15,21,8,5,5,140,186,98,0,101,255,69,63,460,0,152,258,23,0,412,107,8,25,36
02/11/2014,2,74,24,15,12,238,572,66,99,0,6,12,14,0,1,77,151,58,0,77,207,62,46,406,0,110,189,24,0,283,63,3,13,19
02/11/2014,3,60,12,3,16,132,587,36,62,0,11,7,15,1,0,61,85,38,0,63,131,50,31,488,0,81,93,17,0,246,24,0,9,7
02/11/2014,4,23,18,5,14,63,517,43,35,0,6,1,1,0,1,29,86,32,0,62,109,43,21,208,0,28,74,3,0,167,30,5,11,21
02/11/2014,5,28,26,5,8,76,471,24,34,0,3,2,6,1,7,48,37,31,0,35,60,43,12,102,0,17,7,5,0,86,8,7,13,10
02/11/2014,6,26,34,9,21,106,206,22,56,0,13,15,23,8,13,85,82,49,0,61,130,144,27,60,0,23,26,26,0,98,16,20,24,41
02/11/2014,7,93,85,37,20,228,253,81,91,0,58,33,78,14,47,187,191,141,0,228,301,344,116,106,0,64,47,55,0,139,24,39,46,88
02/11/2014,8,186,142,67,63,372,410,257,265,0,85,39,166,29,100,358,337,173,0,480,725,482,184,132,0,111,82,99,0,202,53,47,59,113
02/11/2014,9,352,176,103,69,640,989,668,601,0,117,59,226,35,110,776,729,434,0,904,1118,627,250,224,0,253,142,225,105,266,123,96,108,132
02/11/2014,10,697,305,119,71,942,1774,1164,1412,0,145,67,321,43,157,1470,946,484,0,1329,1588,741,332,378,0,478,361,286,1741,533,246,68,139,169
02/11/2014,11,1232,342,139,93,1541,2370,1881,2209,0,95,61,424,117,162,1697,1124,463,0,1814,1946,740,232,491,0,715,613,321,1996,612,329,95,153,148
02/11/2014,12,1357,348,127,110,2240,3103,2274,2525,0,96,54,519,129,217,2295,1343,546,0,1953,2330,729,281,764,0,1154,830,424,2494,736,518,99,200,144
