Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth St,Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russel St (West),Melbourne Convention Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Russel St (South),QV Market-Peel St,The Arts Centre
1-Oct-13,0,79,11,7,27,166,143,43,33,20,14,8,,0,3,84,128,57,15,88,121,43,14,128,28,69,55,7,58
1-Oct-13,1,46,14,1,8,52,74,29,14,15,2,3,,0,5,29,39,12,3,56,53,7,9,84,12,51,40,12,15
1-Oct-13,2,36,6,3,3,28,31,8,8,6,2,3,,0,2,19,22,12,0,21,23,5,8,55,6,49,22,8,8
1-Oct-13,3,10,11,4,7,32,25,15,11,3,0,3,,1,0,25,16,7,0,22,28,4,4,49,0,15,7,5,23
1-Oct-13,4,11,10,3,1,27,28,16,6,4,9,5,,1,1,33,32,33,18,27,27,18,7,70,8,7,4,4,28
1-Oct-13,5,13,67,22,79,71,70,27,20,13,39,18,,1,13,76,125,42,14,38,117,124,39,39,31,24,3,6,86
1-Oct-13,6,77,247,196,637,168,194,80,69,76,362,61,,17,92,280,448,190,86,123,472,568,120,86,144,44,29,40,257
1-Oct-13,7,241,737,765,2334,319,472,245,246,340,1446,199,,41,205,668,1016,405,124,231,1238,1880,485,123,226,65,44,69,621
1-Oct-13,8,761,1529,1656,4980,773,958,746,636,878,2885,315,,102,381,1306,2209,862,219,502,2453,3217,928,273,398,222,188,161,1286
1-Oct-13,9,648,849,805,1992,1020,1459,851,892,957,1254,202,,38,186,1229,1184,369,140,549,1683,1839,644,293,274,167,212,133,1001
1-Oct-13,10,772,523,521,835,1072,1663,1311,1195,1136,469,138,,58,126,923,890,304,122,871,1507,1129,476,413,326,310,266,170,758
1-Oct-13,11,1047,529,462,703,1633,2300,1667,1987,1465,412,153,,60,170,1079,1079,388,117,1149,1927,1096,430,608,537,505,461,247,799
1-Oct-13,12,1860,1265,710,1023,2793,3312,2954,3293,2433,1157,336,,135,564,1435,1789,525,232,1872,2731,1908,494,1150,693,821,770,339,1029
1-Oct-13,13,1835,1286,723,1031,2520,3629,3421,3947,2351,879,289,,69,332,1452,1783,420,200,1636,2830,1736,525,1229,557,851,683,321,1045
1-Oct-13,14,1977,629,487,747,2419,3390,2876,2999,1885,536,200,,100,176,1284,1378,412,191,1055,2649,1323,487,802,664,749,486,189,908
1-Oct-13,15,2071,597,602,352,1342,3316,2641,2856,1779,621,131,,84,179,1463,1373,642,289,659,2746,1582,434,958,671,709,489,181,1061
1-Oct-13,16,2090,77,866,90,69,3418,2687,172,362,1553,242,,11,264,1646,1582,775,253,500,3060,2549,575,955,602,748,487,181,1234
1-Oct-13,17,2397,62,1490,147,216,3474,2708,79,82,2620,315,,9,483,2242,2406,1339,379,484,3753,3620,713,1191,860,850,595,205,1933
1-Oct-13,18,1822,42,738,86,60,2445,1893,40,39,1084,211,,7,346,1753,1416,775,380,400,2819,1918,461,1135,521,935,744,182,1800
1-Oct-13,19,1340,23,281,23,124,1610,891,39,19,322,119,,6,144,1019,864,409,333,326,1807,964,231,962,227,892,792,148,670
1-Oct-13,20,1023,20,148,6,52,1199,494,20,16,206,100,,12,50,831,578,247,144,259,1369,503,136,771,159,705,641,81,484
