Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place
01/10/2014,0,54,27,3,20,136,56,26,21,0,12,9,7,0,8,53,93,22,0,60,86,28,3,76,16,56,51,5,26,66,38,6,8,7
01/10/2014,1,31,4,3,12,67,28,15,7,0,3,6,3,1,1,14,29,13,0,32,48,13,6,71,4,38,38,7,14,53,25,1,0,5
01/10/2014,2,15,3,5,6,26,25,7,16,0,0,2,2,0,0,11,14,4,0,21,17,20,6,40,5,13,5,5,16,72,6,3,8,5
01/10/2014,3,10,8,0,7,39,16,9,4,0,0,5,6,0,0,43,13,14,0,15,29,2,2,33,2,14,10,2,48,15,8,2,5,7
01/10/2014,4,23,11,3,18,32,33,4,10,0,5,5,4,4,3,57,19,48,0,19,43,16,5,36,15,6,3,10,66,37,9,4,6,8
01/10/2014,5,38,110,51,183,116,88,35,96,0,105,17,26,4,57,131,193,146,0,45,254,314,55,42,83,25,5,10,174,19,17,25,54,36
01/10/2014,6,115,356,310,1098,259,287,125,132,0,687,175,106,26,148,454,650,340,0,139,787,1051,225,146,353,56,29,42,520,81,38,110,132,134
01/10/2014,7,433,1103,1204,3373,711,771,505,400,0,2061,382,281,48,376,1160,1622,789,0,315,1944,2701,662,238,685,119,121,99,1332,205,132,282,167,299
01/10/2014,8,725,1731,1494,4430,1036,1290,850,751,0,2290,478,287,40,381,1528,2120,879,0,512,2433,2967,1095,309,771,236,169,172,1708,383,224,409,244,508
01/10/2014,9,708,798,545,1441,1059,1445,1056,1085,0,707,327,232,37,165,1088,989,363,0,650,1654,1480,482,295,494,307,199,152,916,352,178,193,188,379
01/10/2014,10,950,644,409,809,1437,1937,1615,1721,0,429,203,222,71,137,1175,942,384,0,701,1896,1248,502,464,505,461,331,145,968,443,262,189,187,272
01/10/2014,11,1417,898,514,862,2275,3028,2369,2607,0,482,300,282,81,293,1729,1426,521,0,935,2351,1407,582,797,624,853,580,167,1338,827,318,232,202,417
01/10/2014,12,2107,1722,697,1187,3176,4096,3395,3988,0,971,445,475,128,546,1958,2102,703,0,1272,3217,2028,656,1337,915,1242,990,228,1681,1387,588,311,314,809
01/10/2014,13,2222,1251,577,1102,2960,4082,3132,3708,0,638,326,409,108,380,1756,1973,563,0,1132,3185,1606,546,1050,824,1144,784,207,1398,1121,587,236,309,519
01/10/2014,14,1925,657,463,993,2700,3684,2655,3068,0,480,199,193,64,183,1936,1473,579,0,778,2953,1454,421,804,747,1071,559,159,1504,720,532,178,223,229
01/10/2014,15,1876,555,661,1487,2549,3538,2538,2766,0,850,220,213,55,223,1574,1439,622,0,730,2954,1991,487,837,745,912,618,126,1371,761,489,223,186,218
01/10/2014,16,2154,783,1189,3054,2834,3328,2513,2418,0,1950,433,297,77,351,2049,1994,1008,0,629,3517,3340,623,968,1133,906,530,179,1775,740,381,312,261,302
01/10/2014,17,2288,1207,1336,2959,2863,3086,2537,2065,0,1874,517,418,102,524,2440,2189,1279,0,601,3743,3221,631,1067,1142,1129,719,244,2189,979,492,352,324,385
01/10/2014,18,1709,614,579,1040,2511,2326,1727,1123,0,600,251,336,69,292,1372,1352,708,0,515,2565,1464,294,951,583,1295,957,169,1050,994,659,153,213,253
01/10/2014,19,1269,324,234,362,2257,1594,772,528,0,170,115,215,50,79,936,830,367,0,410,1657,804,227,907,278,1104,900,107,775,739,661,84,125,177
01/10/2014,20,1140,250,137,205,1925,1244,487,334,0,101,79,157,23,58,775,665,272,0,352,1383,453,176,791,168,826,668,83,396,624,733,79,81,118
01/10/2014,21,764,133,82,136,1506,893,308,252,0,84,70,90,25,45,645,567,293,0,224,1095,350,135,637,160,580,591,76,498,496,530,55,104,106
01/10/2014,22,472,102,53,111,1032,538,223,155,0,36,32,63,18,26,443,379,207,0,170,740,268,89,429,144,366,386,46,249,356,286,33,68,73
01/10/2014,23,169,48,10,52,422,290,77,81,0,28,8,31,3,9,216,190,151,0,110,369,149,46,285,79,165,187,38,107,195,121,19,21,43
