Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth St,Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russel St (West),Melbourne Convention Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Russel St (South),QV Market-Peel St,The Arts Centre
1-Sep-13,0,315,127,84,37,941,1348,269,306,204,26,38,,19,17,482,438,274,43,,856,177,106,945,109,408,,35,
1-Sep-13,1,250,80,62,39,563,539,188,222,121,12,27,,9,8,258,298,147,32,,531,103,65,780,87,340,,47,
1-Sep-13,2,143,46,58,25,314,492,156,205,114,11,29,,8,11,259,230,140,41,,455,49,42,862,30,196,,17,
1-Sep-13,3,110,25,26,17,236,309,116,156,69,11,15,,0,5,107,120,60,40,,327,31,65,702,22,87,,12,
1-Sep-13,4,42,9,6,20,94,148,73,69,24,9,13,,8,2,58,69,50,14,,104,28,38,281,8,71,,11,
1-Sep-13,5,30,17,9,7,75,104,31,30,39,3,12,,0,2,42,54,24,8,,93,32,22,159,17,28,,14,
1-Sep-13,6,34,13,14,9,62,75,33,36,16,10,9,,6,13,58,39,39,13,,72,60,16,107,41,16,,19,
1-Sep-13,7,46,54,31,9,111,140,65,42,67,49,33,,11,49,122,110,79,63,,255,254,45,88,102,34,,27,
1-Sep-13,8,129,118,57,37,273,378,152,163,192,64,35,,106,96,276,191,135,164,,429,397,118,114,193,22,,87,
1-Sep-13,9,304,169,102,73,563,727,508,440,457,85,74,,109,158,579,461,246,270,,762,506,149,260,380,1,,155,
1-Sep-13,10,580,197,100,72,878,1263,999,1142,940,106,61,,422,221,1277,779,394,586,,1282,665,146,506,534,0,,270,
1-Sep-13,11,981,270,122,90,1670,1853,1760,1771,1025,106,64,,612,267,1941,969,463,622,,1424,747,127,820,760,4,,315,
1-Sep-13,12,1460,327,140,61,2345,2896,2356,2304,1130,114,65,,825,246,2507,1211,486,910,,2018,713,103,909,893,445,,313,
1-Sep-13,13,1792,288,126,97,2706,3671,2734,2664,1268,128,103,,1117,235,3047,1422,560,1129,,2445,760,89,1171,1080,1265,,384,
1-Sep-13,14,1872,326,171,93,2708,3615,2954,2978,1350,97,152,,1057,265,2958,1457,682,2100,,2344,702,100,1084,1119,1105,,281,
1-Sep-13,15,1749,284,166,60,2620,3212,2932,2791,1138,115,117,,1180,280,2503,1325,646,1130,,2254,796,107,1026,1153,994,,226,
1-Sep-13,16,1766,248,136,69,2285,2783,2565,2549,857,122,154,,855,256,2217,1229,529,634,,2203,856,153,1118,948,848,,138,
1-Sep-13,17,1655,239,97,65,2291,2405,1967,1613,507,107,76,,719,164,1709,1182,571,519,,2061,748,149,927,879,802,,83,
