Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West)
1/09/2014,0,54,6,4,21,136,92,40,23,0,12,5,11,7,5,69,86,33,0,55,96,28,18,91,13,83,26,8,23,151,42,6
1/09/2014,0,60,10,4,21,153,109,43,31,0,14,6,13,6,5,77,91,35,0,59,105,31,24,127,18,104,27,9,28,178,58,6
1/09/2014,1,20,3,4,8,56,38,13,22,0,4,2,1,1,1,10,19,10,0,18,42,7,1,75,20,29,26,1,4,89,33,0
1/09/2014,1,27,5,4,9,69,53,14,31,0,5,2,4,1,1,18,20,11,7,22,47,8,2,88,20,32,29,1,5,123,67,1
1/09/2014,2,21,9,8,5,23,24,2,19,0,5,1,1,0,0,25,22,15,0,11,17,9,11,43,4,18,5,1,9,61,6,0
1/09/2014,2,21,10,9,7,42,31,8,19,0,6,1,1,0,0,28,33,18,0,24,36,10,11,73,6,18,11,2,14,70,6,0
1/09/2014,3,23,6,2,11,23,28,26,12,0,0,1,4,0,0,32,18,14,0,8,21,2,1,76,14,16,6,2,24,88,0,3
1/09/2014,3,25,6,2,11,34,30,29,21,0,2,1,4,0,0,39,29,25,0,10,27,5,1,85,21,17,8,2,36,103,1,4
1/09/2014,4,6,4,4,3,16,38,1,15,0,4,6,7,4,3,39,18,32,0,9,23,13,6,31,12,1,6,2,34,36,9,3
1/09/2014,4,9,12,5,13,27,46,2,19,0,6,13,7,3,4,58,27,40,0,11,39,21,11,31,18,2,6,2,57,37,10,4
1/09/2014,5,21,55,38,131,72,76,34,12,0,42,12,13,10,17,77,142,72,0,27,144,177,31,73,51,13,6,6,77,29,5,14
1/09/2014,5,31,81,60,206,107,113,48,29,0,96,21,22,2,33,123,172,132,0,53,210,277,60,105,75,20,8,9,118,50,10,19
1/09/2014,6,49,228,168,747,158,154,68,57,0,403,102,47,21,99,322,344,188,0,86,544,696,136,86,195,26,21,13,329,55,12,65
